distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
Clean,,pretrained,person,0.18770798633377744,0.3455234165910494,0.06166666666666667,0.5692307692307692,0.7274505360067386,715.0,6600.0
Clean,,pretrained,bicycle,0.09244287574043915,0.1773154217428191,0.06716417910447761,0.35611510791366907,0.6820185703648404,278.0,1474.0
Clean,,pretrained,car,0.3295215253149109,0.5295302358162871,0.09692328007394692,0.6455584872471416,0.7648972711987456,1137.0,7573.0
Clean,,pretrained,motorcycle,0.05900734335063769,0.1397501677312267,0.07518796992481203,0.2702702702702703,0.675901278868906,37.0,133.0
Clean,,pretrained,bus,0.3388104494707074,0.4572797664381823,0.02564102564102564,0.5714285714285714,0.8123000584750465,21.0,468.0
Clean,,pretrained,train,0.05470297029702971,0.16831683168316833,0.011111111111111112,0.3333333333333333,0.6054055767394111,3.0,90.0
Clean,,pretrained,truck,0.17106710099596395,0.22323583604675132,0.02,0.6086956521739131,0.7602772808214942,23.0,700.0
Clean,,fine_tuned,person,0.20904404402626006,0.4064925496403864,0.02620113760135544,0.6055944055944056,0.7221217562448262,715.0,16526.0
Clean,,fine_tuned,bicycle,0.13057276620774266,0.2826271954032768,0.04559178743961353,0.5431654676258992,0.6935425418882065,278.0,3312.0
Clean,,fine_tuned,car,0.3714026175590156,0.5879944185265851,0.09013357279155909,0.7062445030782761,0.7746069949654584,1137.0,8909.0
Clean,,fine_tuned,motorcycle,0.07405828942278958,0.1837631207540981,0.045283018867924525,0.32432432432432434,0.7098668243922958,37.0,265.0
Clean,,fine_tuned,bus,0.23964401874970104,0.30895154732864594,0.11842105263157894,0.42857142857142855,0.8698829238577586,21.0,76.0
Clean,,fine_tuned,train,0.0,0.0,0.0,0.0,0.0,3.0,87.0
Clean,,fine_tuned,truck,0.211642455538465,0.27839671634209573,0.018361581920903956,0.5652173913043478,0.7792584453582941,23.0,708.0
GaussNoise,5.0,pretrained,person,0.17947044164686704,0.3390189137410153,0.0636053366428793,0.5734265734265734,0.7187057152659474,715.0,6446.0
GaussNoise,5.0,pretrained,bicycle,0.08859479737525601,0.16530466615798806,0.058146577831617204,0.34532374100719426,0.6815293988196901,278.0,1651.0
GaussNoise,5.0,pretrained,car,0.3272571270212486,0.5283858046154373,0.09239884028740704,0.644678979771328,0.7654914869186787,1137.0,7933.0
GaussNoise,5.0,pretrained,motorcycle,0.056355267574760615,0.13233950091841762,0.072,0.24324324324324326,0.6833472818175409,37.0,125.0
GaussNoise,5.0,pretrained,bus,0.3594163719475315,0.5027793749274593,0.02830188679245283,0.5714285714285714,0.8162615315818696,21.0,424.0
GaussNoise,5.0,pretrained,train,0.100990099009901,0.33663366336633666,0.011363636363636364,0.3333333333333333,0.6102680914566286,3.0,88.0
GaussNoise,5.0,pretrained,truck,0.18261432114399428,0.23564661906563092,0.02157164869029276,0.6086956521739131,0.7567942457475203,23.0,649.0
GaussNoise,5.0,fine_tuned,person,0.20724450596553207,0.40318482231814934,0.026088001923539314,0.606993006993007,0.7188071517932751,715.0,16636.0
GaussNoise,5.0,fine_tuned,bicycle,0.12529277347754603,0.2829972944604768,0.045535714285714284,0.5503597122302158,0.6801764538407588,278.0,3360.0
GaussNoise,5.0,fine_tuned,car,0.3711478275138801,0.5919799686661502,0.08927587347073736,0.712401055408971,0.7730762205610856,1137.0,9073.0
GaussNoise,5.0,fine_tuned,motorcycle,0.07898605235743429,0.19684111268269683,0.046218487394957986,0.2972972972972973,0.7192008575431793,37.0,238.0
GaussNoise,5.0,fine_tuned,bus,0.25588558855885585,0.3151375137513751,0.1,0.42857142857142855,0.8657804750181917,21.0,90.0
GaussNoise,5.0,fine_tuned,train,0.0,0.0,0.0,0.0,0.0,3.0,98.0
