distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,10.0,restored,3,wall,0.34757932123422447,0.4401996218176735,1259181,889828
GaussNoise,10.0,restored,4,fence,0.38456926633745836,0.566615809472795,2904866,3021042
GaussNoise,10.0,restored,5,pole,0.29718963647369584,0.4022990826984985,3268173,2470664
GaussNoise,10.0,restored,6,traffic light,0.34206724467161376,0.37692897124265495,488084,233716
GaussNoise,10.0,restored,7,traffic sign,0.501473187978786,0.5650341579777801,1656714,1146086
GaussNoise,10.0,restored,8,vegetation,0.8654817349858152,0.9360943792145884,37874102,38543794
GaussNoise,10.0,restored,9,terrain,0.47198757184246765,0.5527219766691739,1774905,1284630
GaussNoise,10.0,restored,10,sky,0.9176195161139102,0.957594016479256,7910794,7919949
GaussNoise,10.0,restored,11,person,0.5411480508918595,0.7108490982021161,3186357,3264243
GaussNoise,10.0,restored,12,rider,0.1869375796663052,0.23369272237196764,378420,183081
GaussNoise,10.0,restored,13,car,0.8659015957063878,0.9361116723602768,13170027,13396484
GaussNoise,10.0,restored,14,truck,0.773567722502607,0.8448966027354897,866609,812103
GaussNoise,10.0,restored,15,bus,0.6010213008663827,0.6332520594937026,638992,438910
GaussNoise,10.0,restored,16,train,0.14968845397900724,0.5640294344736303,63463,211462
GaussNoise,10.0,restored,17,motorcycle,0.28146022206982396,0.3565574593736818,199132,124133
GaussNoise,10.0,restored,18,bicycle,0.5354614456121587,0.6625804680111054,1474965,1327441
GaussNoise,20.0,distorted,0,road,0.953125948951666,0.979350335613394,83055684,83625813
GaussNoise,20.0,distorted,1,sidewalk,0.6882920233827688,0.7627073316269425,13341609,11618183
GaussNoise,20.0,distorted,2,building,0.8464198521924515,0.9520190491785393,54242339,58407005
GaussNoise,20.0,distorted,3,wall,0.39436606805484886,0.47825531039620195,1259181,870062
GaussNoise,20.0,distorted,4,fence,0.3926688418588017,0.5639406430451526,2904866,2905198
GaussNoise,20.0,distorted,5,pole,0.27758719850451785,0.37112386645382606,3268173,2314151
GaussNoise,20.0,distorted,6,traffic light,0.29168357539004375,0.3136714172150695,488084,189891
GaussNoise,20.0,distorted,7,traffic sign,0.4535744502578909,0.5012392000067604,1656714,1004509
GaussNoise,20.0,distorted,8,vegetation,0.8484896560106681,0.9208371725882768,37874102,38105263
GaussNoise,20.0,distorted,9,terrain,0.45516715987615325,0.5244596189655221,1774905,1201069
GaussNoise,20.0,distorted,10,sky,0.9128213344490118,0.9542704562904811,7910794,7908248
GaussNoise,20.0,distorted,11,person,0.5057257793800984,0.6978671881399353,3186357,3434253
GaussNoise,20.0,distorted,12,rider,0.17036536196054355,0.2170656942022092,378420,185874
GaussNoise,20.0,distorted,13,car,0.8560345962020204,0.927110931511378,13170027,13303580
GaussNoise,20.0,distorted,14,truck,0.770887289278747,0.815738124113643,866609,757346
GaussNoise,20.0,distorted,15,bus,0.7016416108165858,0.7338307834839872,638992,498227
