sample_id,distortion,level_index,level,restoration_recipe_version,restoration_method,restoration_parameters,restoration_runtime_ms,distorted_snr_db,restored_snr_db,snr_gain_db,distorted_psnr_db,restored_psnr_db,psnr_gain_db,distorted_ssim,restored_ssim,ssim_gain,distorted_mae,restored_mae,mae_reduction,orb_restored,canny_restored,seg_restored_image_miou,detections_restored,detections_distorted,orb_distorted,canny_distorted,seg_distorted_image_miou
frankfurt_000000_009688,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2732.911300000069,25.347896213290888,26.99407108364842,1.6461748703575338,34.09627101058096,35.74244566496391,1.6461746543829463,0.876600444316864,0.9111257791519165,0.03452533483505249,4.000741481781006,3.2764313220977783,0.7243101596832275,0.89875,0.9666288683971,0.4776755672293362,77,76,0.9075,0.966205176713389,0.48349956847223635
frankfurt_000000_009969,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2690.631399999802,26.10239237380999,27.38720618935765,1.2848138155476576,34.1196657019204,35.40447961003427,1.2848139081138754,0.8981962203979492,0.9230916500091553,0.024895429611206055,3.9811947345733643,3.4021778106689453,0.579016923904419,0.90375,0.9771858712477184,0.561237847318747,151,153,0.91375,0.9802186437537351,0.5627115883538814
frankfurt_000000_011007,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2667.0278999999937,26.02428972479995,27.27913156050059,1.254841835700642,34.101257838734774,35.356099382925905,1.2548415441911303,0.882925271987915,0.9093494415283203,0.026424169540405273,3.997833490371704,3.423119306564331,0.574714183807373,0.86,0.9824121448323307,0.5290127796541877,79,81,0.865,0.9852288936848516,0.5298421845462017
frankfurt_000000_011074,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2675.6100000002334,26.454960911024603,27.60789516987614,1.1529342588515377,34.11201894536257,35.26495328149342,1.1529343361308477,0.8926522135734558,0.9129041433334351,0.020251929759979248,3.9874470233917236,3.459838628768921,0.5276083946228027,0.91125,0.9828733565065834,0.45802256687710086,108,110,0.91,0.9822560452968847,0.46001163474310713
frankfurt_000000_011461,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2676.043599999957,26.051241733300454,27.135769158231305,1.084527424930851,34.12665907210021,35.21118614420899,1.0845270721087772,0.907899796962738,0.9260011911392212,0.018101394176483154,3.972663164138794,3.479639768600464,0.4930233955383301,0.91625,0.9836175166285863,0.5756610021975788,192,176,0.9175,0.9838377954201271,0.5770056623464511
frankfurt_000000_012868,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2681.3388999999006,26.883063649546514,27.592834078268915,0.7097704287224005,34.177368944369746,34.88713932246928,0.7097703780995346,0.9108952283859253,0.9194870591163635,0.008591830730438232,3.930443525314331,3.6167781352996826,0.31366539001464844,0.92625,0.9676015200941007,0.4628624581226514,237,237,0.92375,0.9689917205038409,0.4623760529627246
frankfurt_000000_013067,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2672.300200000336,26.051413294033704,27.10648185963811,1.0550685656044045,34.12300296974952,35.17807162793465,1.055068658185128,0.9073761701583862,0.9250067472457886,0.017630577087402344,3.980400800704956,3.4939792156219482,0.4864215850830078,0.92375,0.9805905583367441,0.3422182051275654,175,172,0.92625,0.9817441316282199,0.3468719014150191
frankfurt_000000_013240,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2695.5260999998245,26.20957040902161,27.527225619116393,1.3176552100947845,34.1029151625064,35.42057093979136,1.317655777284962,0.899366021156311,0.9217149615287781,0.02234894037246704,3.995864152908325,3.3997344970703125,0.5961296558380127,0.90875,0.9721833194811809,0.5875835074040824,166,167,0.91375,0.9742387251894069,0.5865505396557182
frankfurt_000000_013382,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2671.136899999965,26.543330750120084,27.56950198133771,1.0261712312176243,34.211013661003975,35.23718509002619,1.026171429022213,0.8914299011230469,0.9110254049301147,0.01959550380706787,3.895597219467163,3.4630823135375977,0.43251490592956543,0.9,0.9742554272182445,0.4858918720381058,127,128,0.90875,0.9766656421222729,0.48524615749520666
frankfurt_000000_015389,GaussNoise,0,5.0,3,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""search_window"": 21, ""template_window"": 7}",2676.6136000001097,26.21193637657774,27.065138730221356,0.8532023536436171,34.13970805768686,34.9929102855991,0.8532022279122415,0.9019219875335693,0.9164987802505493,0.01457679271697998,3.959848403930664,3.5717809200286865,0.38806748390197754,0.91625,0.9644053747296147,0.40006511420242974,131,136,0.9225,0.9619114239684922,0.4012647752593706
