class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
person,0.16553790798130633,0.30788894830489916,0.0651667681725361,0.5357879234167894,0.7198365509017116,3395.0,27913.0
bicycle,0.1073858084366394,0.21473305318830996,0.07164925702515816,0.41802575107296136,0.6934727926675583,1165.0,6797.0
car,0.3446156463229653,0.5442147668371845,0.09797394616394073,0.6578551472168493,0.7735658142330762,4653.0,31243.0
motorcycle,0.05087919384175786,0.11906670313364623,0.06428571428571428,0.30201342281879195,0.671194250789253,149.0,700.0
bus,0.2803994493073949,0.35666176862712956,0.02942643391521197,0.6020408163265306,0.835322599650175,98.0,2005.0
train,0.03213841972432537,0.10531935546495826,0.014598540145985401,0.17391304347826086,0.6172933184253728,23.0,274.0
truck,0.13696157322503777,0.1965849360151485,0.016661112962345886,0.5376344086021505,0.7810910373602042,93.0,3001.0
