distortion,level_index,level,sample_count,mean_snr_db,pretrained_map_50_95,finetuned_map_50_95,map_50_95_gain,pretrained_map_50,finetuned_map_50,pretrained_recall_50,finetuned_recall_50
Clean,0,,20,,0.2252284012750451,0.00038741133116638077,-0.22484098994387872,0.4417570152984161,0.0009596672497705856,0.592361274356812,0.05985915492957747
GaussNoise,0,5.0,20,25.469253333921806,0.20554862021492196,0.0003547271490580577,-0.20519389306586389,0.40460610336920694,0.0009833431342524167,0.5620789201656585,0.058685446009389665
GaussNoise,1,10.0,20,19.52056101258981,0.18196159984129645,0.00031232093766760057,-0.18164927890362886,0.37206804039549984,0.0007695078654850188,0.5396039382610294,0.0539906103286385
GaussNoise,2,20.0,20,13.653544784279617,0.15488232658887244,0.00029567189473506355,-0.15458665469413738,0.3046367366371422,0.0008409604023483017,0.48847060359959543,0.0539906103286385
GaussNoise,3,35.0,20,9.139010458070091,0.07226621443700125,0.0002269039469874629,-0.07203931049001379,0.13618263946075446,0.0005210693343603113,0.3049657682065993,0.03755868544600939
GaussNoise,4,50.0,20,6.436774114998078,0.03795620146371473,0.0001459640366251938,-0.037810237427089534,0.07411185130922902,0.0003833190296102632,0.21327635781686818,0.03051643192488263
SevereJPEG,0,80.0,20,31.23343469078685,0.22731848332150195,0.0003841503675242394,-0.22693433295397772,0.44218826431427455,0.0009041438572384078,0.5907111093403103,0.05985915492957747
SevereJPEG,1,60.0,20,29.515600178275246,0.21568941888332663,0.0003980564228223857,-0.21529136246050423,0.42648922029916697,0.0010628799427518964,0.5901416862008132,0.06455399061032864
SevereJPEG,2,40.0,20,28.290152545316687,0.22525340263535043,0.00036208634973836535,-0.22489131628561207,0.4443976762382338,0.000977271970196018,0.5855068142629153,0.06103286384976526
SevereJPEG,3,20.0,20,25.71565237709266,0.19090087740062153,0.0003183948412806798,-0.19058248255934085,0.36859150371489074,0.0008402170675115857,0.5622397531503653,0.057511737089201875
SevereJPEG,4,5.0,20,18.628352052511595,0.11839897742306114,0.00022586877097918994,-0.11817310865208196,0.2672221923365398,0.0005554725005154588,0.4668804023259469,0.045774647887323945
LowLight,0,0.8,20,13.83041141794565,0.21915698577971465,0.0003741363360257551,-0.2187828494436889,0.4340999964055354,0.0008749015893703003,0.5907111093403103,0.057511737089201875
LowLight,1,0.6,20,7.8847229069011675,0.2141212779101663,0.00036730081051353567,-0.21375397709965277,0.40895953224668363,0.0009283951217271472,0.5907111093403103,0.058685446009389665
LowLight,2,0.4,20,4.387347782231181,0.2016037230426108,0.000342859875219897,-0.2012608631673909,0.37510544467394474,0.0009636342161275655,0.5855398175632452,0.058685446009389665
LowLight,3,0.25,20,2.4569651941032653,0.18380615833798344,0.0003417462683575838,-0.18346441206962585,0.34032335131674624,0.0009321756295543595,0.4626622883616329,0.057511737089201875
LowLight,4,0.1,20,0.8752843433906309,0.09590047097103709,0.00025468947689205547,-0.09564578149414503,0.1790388286185115,0.0006083621716227412,0.3255021880457663,0.04225352112676056
MotionBlur,0,3.0,20,32.96691254330439,0.22100300309638032,0.00036258821731545264,-0.22064041487906488,0.4423548984843482,0.000843707858485235,0.5850303581666014,0.057511737089201875
MotionBlur,1,5.0,20,26.99948600770771,0.22641126621448646,0.0003574034973763338,-0.22605386271711012,0.4493071427649516,0.0008753230730719708,0.5853459812782084,0.058685446009389665
MotionBlur,2,9.0,20,23.53923098544768,0.201469614748537,0.00031661309695973417,-0.20115300165157726,0.3857361938827377,0.0007857911093436277,0.48884619045405553,0.05281690140845071
MotionBlur,3,15.0,20,20.303772904761626,0.1666254866784011,0.000266725998051541,-0.16635876068034955,0.3341754563558672,0.0006240764899524868,0.520730566014348,0.04460093896713615
MotionBlur,4,25.0,20,17.819701408915847,0.11573794539916794,0.00033676076162605597,-0.11540118463754188,0.23398962928611067,0.0020503683544381836,0.3515431201067793,0.035211267605633804
