epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8124,1.5315,1.36771,1.08777,0.50721,0.19184,0.18256,0.10203,1.39901,1.17659,1.08007,0.000332311,0.000332311,0.0671012
2,92.1108,1.43317,1.00174,1.0457,0.39566,0.29568,0.26962,0.15219,1.23383,0.94022,1.00931,0.000664628,0.000664628,0.0341002
3,137.714,1.40179,0.94384,1.03253,0.49767,0.31618,0.30446,0.17297,1.22418,0.90676,1.01579,0.000992889,0.000992889,0.00109514
4,183.674,1.38296,0.91609,1.02427,0.44206,0.34197,0.32428,0.18476,1.20443,0.84752,1.00385,0.000986323,0.000986323,0.000986323
5,228.694,1.36095,0.88899,1.01633,0.51111,0.32716,0.33475,0.19134,1.18994,0.83871,0.99716,0.000975773,0.000975773,0.000975773
6,274.068,1.33364,0.86254,1.00787,0.54387,0.31481,0.34078,0.19735,1.18445,0.83389,0.99342,0.00096232,0.00096232,0.00096232
7,319.86,1.32155,0.84807,1.00419,0.52613,0.30276,0.32122,0.18966,1.1514,0.86417,0.98723,0.000946048,0.000946048,0.000946048
8,365.216,1.31206,0.83269,0.99774,0.50401,0.34165,0.33434,0.19945,1.16522,0.82291,0.98697,0.000927057,0.000927057,0.000927057
9,415.02,1.30276,0.82159,0.99219,0.57525,0.32658,0.36444,0.21739,1.12325,0.77715,0.9728,0.000905463,0.000905463,0.000905463
10,459.811,1.2817,0.80291,0.98623,0.51915,0.34729,0.35622,0.20863,1.12821,0.77028,0.97536,0.000881401,0.000881401,0.000881401
11,505.671,1.27229,0.79877,0.98439,0.5087,0.38422,0.36834,0.21999,1.10743,0.75595,0.96692,0.000855018,0.000855018,0.000855018
12,551.248,1.2643,0.79017,0.98162,0.53149,0.35813,0.37328,0.23056,1.1076,0.75195,0.96766,0.000826477,0.000826477,0.000826477
13,597.399,1.25781,0.78003,0.97756,0.51319,0.37525,0.37298,0.22102,1.1103,0.74595,0.9744,0.000795954,0.000795954,0.000795954
14,643.411,1.24921,0.77098,0.97569,0.53506,0.36843,0.37032,0.22605,1.09724,0.75121,0.96353,0.000763637,0.000763637,0.000763637
15,689.027,1.24407,0.76453,0.971,0.5435,0.35272,0.3865,0.23826,1.09401,0.74665,0.96752,0.000729725,0.000729725,0.000729725
16,737.298,1.22856,0.75281,0.96814,0.59072,0.35171,0.37292,0.22626,1.08832,0.74379,0.96622,0.000694428,0.000694428,0.000694428
17,782.984,1.22343,0.746,0.96411,0.54277,0.35801,0.37064,0.22295,1.08642,0.74518,0.96221,0.000657963,0.000657963,0.000657963
18,828.908,1.2197,0.74205,0.96303,0.50642,0.37625,0.37929,0.22888,1.08525,0.73419,0.96065,0.000620555,0.000620555,0.000620555
19,874.496,1.20688,0.73077,0.95789,0.54957,0.36565,0.38351,0.24145,1.07326,0.72131,0.95549,0.000582435,0.000582435,0.000582435
20,920.545,1.2016,0.72555,0.95613,0.61997,0.36837,0.40847,0.24946,1.0815,0.72135,0.96031,0.000543837,0.000543837,0.000543837
21,966.295,1.19661,0.72281,0.95369,0.54473,0.3751,0.38807,0.23664,1.06115,0.72353,0.95439,0.000505,0.000505,0.000505
22,1012.17,1.18439,0.71118,0.95119,0.53912,0.40011,0.40258,0.24661,1.07043,0.7143,0.95445,0.000466163,0.000466163,0.000466163
23,1057.56,1.18009,0.70692,0.9496,0.57703,0.36599,0.39554,0.2428,1.06766,0.71529,0.95339,0.000427565,0.000427565,0.000427565
24,1103.49,1.17595,0.69918,0.94595,0.53626,0.39408,0.40192,0.24146,1.05577,0.69366,0.9506,0.000389445,0.000389445,0.000389445
25,1149.23,1.16583,0.69493,0.94297,0.55123,0.39673,0.40605,0.2511,1.06146,0.69841,0.95321,0.000352037,0.000352037,0.000352037
26,1195.43,1.15011,0.68279,0.94103,0.55567,0.39957,0.41213,0.25001,1.05548,0.68836,0.9524,0.000315572,0.000315572,0.000315572
