sample_id,distortion,level_index,level,restoration_recipe_version,restoration_method,restoration_parameters,restoration_runtime_ms,distorted_snr_db,restored_snr_db,snr_gain_db,distorted_psnr_db,restored_psnr_db,psnr_gain_db,distorted_ssim,restored_ssim,ssim_gain,distorted_mae,restored_mae,mae_reduction,orb_restored,canny_restored,seg_restored_image_miou,detections_restored,detections_distorted,orb_distorted,canny_distorted,seg_distorted_image_miou
frankfurt_000000_009688,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2784.031800001685,25.347896213290888,26.490473421374045,1.142577208083157,34.09627101058096,35.23884808234716,1.1425770717661976,0.876600444316864,0.9014335870742798,0.02483314275741577,4.000741481781006,3.4623639583587646,0.5383775234222412,0.90125,0.9613373339048435,0.47898647966662317,78,76,0.9075,0.966205176713389,0.48349956847223635
frankfurt_000000_009969,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2713.7837000009313,26.10239237380999,27.005362057730032,0.9029696839200412,34.1196657019204,35.022635466001276,0.9029697640808791,0.8981962203979492,0.9160467386245728,0.017850518226623535,3.9811947345733643,3.55615234375,0.42504239082336426,0.9125,0.9780548632654799,0.5630143352105207,151,153,0.91375,0.9802186437537351,0.5627115883538814
frankfurt_000000_011007,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2706.8690999985847,26.02428972479995,26.915748256153353,0.891458531353404,34.101257838734774,34.9927164371159,0.8914585983811278,0.882925271987915,0.9021037817001343,0.01917850971221924,3.997833490371704,3.569079637527466,0.4287538528442383,0.86125,0.9846635968520255,0.528781128515696,78,80,0.865,0.9852288936848516,0.5298421845462017
frankfurt_000000_011074,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2721.035499998834,26.454960911024603,27.282365860409868,0.8274049493852651,34.11201894536257,34.939423923461284,0.8274049780987127,0.8926522135734558,0.9074617624282837,0.01480954885482788,3.9874470233917236,3.599040985107422,0.38840603828430176,0.91375,0.984253681826645,0.4589603487532031,110,109,0.91,0.9822560452968847,0.46001163474310713
frankfurt_000000_011461,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2710.7207999979437,26.051241733300454,26.817552229149463,0.7663104958490088,34.12665907210021,34.8929692225971,0.7663101504968921,0.907899796962738,0.9208956956863403,0.012995898723602295,3.972663164138794,3.616456985473633,0.35620617866516113,0.91875,0.9830510298753083,0.5761700133489704,187,177,0.9175,0.9838377954201271,0.5770056623464511
frankfurt_000000_012868,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2715.0739999997313,26.883063649546514,27.411759233901027,0.5286955843545122,34.177368944369746,34.70606475912474,0.5286958147549967,0.9108952283859253,0.9174471497535706,0.006551921367645264,3.930443525314331,3.6985607147216797,0.23188281059265137,0.92375,0.9678650279484111,0.4626798102190478,237,238,0.92375,0.9689917205038409,0.4623760529627246
frankfurt_000000_013067,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2721.9460000014806,26.051413294033704,26.806154960138315,0.7547416661046107,34.12300296974952,34.87774461883552,0.7547416490860002,0.9073761701583862,0.920086145401001,0.012709975242614746,3.980400800704956,3.622858762741089,0.3575420379638672,0.9225,0.9821093086355914,0.34395868757801357,173,172,0.92625,0.9817441316282199,0.3468719014150191
frankfurt_000000_013240,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2727.8707000004943,26.20957040902161,27.13558989043944,0.926019481417832,34.1029151625064,35.02893533034681,0.926020167840413,0.899366021156311,0.9153750538825989,0.016009032726287842,3.995864152908325,3.557685136795044,0.43817901611328125,0.91125,0.9758920966952982,0.5877609401627676,166,167,0.91375,0.9742387251894069,0.5865505396557182
frankfurt_000000_013382,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2700.160100001085,26.543330750120084,27.2925161949544,0.749185444834314,34.211013661003975,34.960199062033304,0.7491854010293295,0.8914299011230469,0.9061691761016846,0.014739274978637695,3.895597219467163,3.56950306892395,0.3260941505432129,0.89875,0.9763268943748604,0.48563292236109074,130,127,0.90875,0.9766656421222729,0.48524615749520666
frankfurt_000000_015389,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2694.9330999996164,26.21193637657774,26.83896246457438,0.6270260879966401,34.13970805768686,34.76673408017973,0.6270260224928705,0.9019219875335693,0.9129319787025452,0.01100999116897583,3.959848403930664,3.6730709075927734,0.2867774963378906,0.91375,0.9630755288179539,0.4002863366366597,134,135,0.9225,0.9619114239684922,0.4012647752593706
frankfurt_000000_016005,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2689.919299999019,25.655960657359334,26.383001295849304,0.7270406384899708,34.1015418222386,34.82858280818418,0.7270409859455782,0.8923877477645874,0.9061492681503296,0.013761520385742188,3.9979207515716553,3.6466386318206787,0.35128211975097656,0.895,0.9782770047929226,0.3517225187200943,90,89,0.89875,0.9772859938710924,0.35287311179235226
frankfurt_000000_017228,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2695.8722000017588,25.60032441500823,26.470345609260324,0.870021194252093,34.09935854191106,34.969379605800725,0.8700210638896664,0.8964530229568481,0.9125295877456665,0.01607656478881836,3.997166633605957,3.582585573196411,0.4145810604095459,0.90125,0.9582910377299722,0.4698162228139428,112,113,0.89875,0.9575232787626115,0.4696469728781407
frankfurt_000000_018797,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2700.4807999983313,26.328088519896134,26.97761868086031,0.6495301609641757,34.194288556046146,34.84381877728034,0.649530221234194,0.8990089893341064,0.9123820066452026,0.013373017311096191,3.9092776775360107,3.6255791187286377,0.28369855880737305,0.91625,0.9618873149502635,0.4230533581999832,129,127,0.92125,0.9621788156165334,0.41824533065400366
frankfurt_000000_020321,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2695.6339999997,25.79486085987995,26.537024943397952,0.7421640835180021,34.14189618319875,34.88406040772878,0.7421642245300291,0.8942074775695801,0.9082154035568237,0.014007925987243652,3.958071708679199,3.617536783218384,0.34053492546081543,0.92625,0.9704062457896094,0.4826759502186756,179,177,0.925,0.9699487123857016,0.48363989320526846
frankfurt_000000_021667,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2692.360600001848,27.663755369270973,28.57694062606992,0.9131852567989469,34.13194349610609,35.04512845580885,0.913184959702761,0.8922842741012573,0.9077823758125305,0.015498101711273193,3.9664695262908936,3.555474042892456,0.4109954833984375,0.91125,0.9716532918707342,0.3108737037891988,80,78,0.9125,0.9685224893369317,0.3550351509135822
frankfurt_000000_021879,GaussNoise,0,5.0,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2701.735500002542,26.408488019844604,27.36681638939025,0.9583283695456473,34.142190441260915,35.10051893462527,0.9583284933643554,0.8798894882202148,0.8999449014663696,0.020055413246154785,3.9574365615844727,3.518770456314087,0.43866610527038574,0.8975,0.9915982932137154,0.4351312642252032,131,134,0.905,0.9915989734552392,0.43692812357433325
