distortion,level_index,level,metric,confidence_level,bootstrap_resamples,pair_count,higher_is_better,mean_improvement,median_improvement,ci_low,ci_high,win_rate,tie_rate
GaussNoise,0,5.0,snr_db,0.95,1000,125,True,0.741407773278024,0.7634820825837316,0.7136632488631285,0.769854923472555,1.0,0.0
GaussNoise,0,5.0,psnr_db,0.95,1000,125,True,0.7414078130444698,0.7634822128264105,0.7118796827133322,0.7682357696356406,1.0,0.0
GaussNoise,0,5.0,ssim,0.95,1000,125,True,0.01552249002456665,0.015498101711273193,0.014830617952346801,0.01619834192991257,1.0,0.0
GaussNoise,0,5.0,mae,0.95,1000,125,False,0.3481199398040771,0.3604118824005127,0.3335951319217682,0.36204530878067015,1.0,0.0
GaussNoise,0,5.0,orb_match_retention,0.95,1000,125,True,-0.0021799999999999996,-0.0012500000000000844,-0.0032302499999999983,-0.001129250000000005,0.312,0.104
GaussNoise,0,5.0,canny_f1,0.95,1000,125,True,5.604184946008761e-05,-6.802415237761039e-07,-0.0008691987323278418,0.0008916928995195667,0.496,0.0
GaussNoise,0,5.0,segmentation_image_miou,0.95,1000,125,True,0.00027019223595110733,-0.0004056351656853141,-0.0017754322908417408,0.0022826871138928073,0.392,0.0
GaussNoise,1,10.0,snr_db,0.95,1000,125,True,1.0574727837860678,1.0791050369697537,1.0198123059961588,1.0961938499170603,1.0,0.0
GaussNoise,1,10.0,psnr_db,0.95,1000,125,True,1.0574727893326117,1.079104929990855,1.0174225034999314,1.0968019112458354,1.0,0.0
GaussNoise,1,10.0,ssim,0.95,1000,125,True,0.048485523223876954,0.04900473356246948,0.046681461608409885,0.05009876564741134,1.0,0.0
GaussNoise,1,10.0,mae,0.95,1000,125,False,0.9313046226501465,0.9594926834106445,0.8977465126991272,0.9643073917388916,1.0,0.0
GaussNoise,1,10.0,orb_match_retention,0.95,1000,125,True,-0.0007700000000000005,-0.0012499999999999734,-0.0021205000000000017,0.0005899999999999903,0.424,0.056
GaussNoise,1,10.0,canny_f1,0.95,1000,125,True,0.0029063783046481546,0.0005064283888757126,0.001029242695721039,0.005485566069670859,0.544,0.0
GaussNoise,1,10.0,segmentation_image_miou,0.95,1000,125,True,-0.0028325568162029234,-0.0005148994363988191,-0.005479146475563806,-0.0001891570734698892,0.448,0.0
GaussNoise,2,20.0,snr_db,0.95,1000,125,True,1.5684704633811004,1.5913976634686549,1.5046929402188793,1.6316885129402272,1.0,0.0
GaussNoise,2,20.0,psnr_db,0.95,1000,125,True,1.5684705153231038,1.5913978795929857,1.5084629768089197,1.6238325198830221,1.0,0.0
GaussNoise,2,20.0,ssim,0.95,1000,125,True,0.08734032416343689,0.08827865123748779,0.08463252403736114,0.09000904561281205,1.0,0.0
GaussNoise,2,20.0,mae,0.95,1000,125,False,2.67241658782959,2.7286376953125,2.5808660346984866,2.766898179244995,1.0,0.0
GaussNoise,2,20.0,orb_match_retention,0.95,1000,125,True,-0.0026900000000000006,-0.0050000000000000044,-0.00486,-0.0007894999999999981,0.328,0.024
GaussNoise,2,20.0,canny_f1,0.95,1000,125,True,0.004751381593192731,0.0008365210694804004,0.002000927467598036,0.008482653488574557,0.536,0.0
GaussNoise,2,20.0,segmentation_image_miou,0.95,1000,125,True,-0.00230390432529141,0.00031351964141945743,-0.005450138512887208,0.0006052846064688218,0.52,0.0
GaussNoise,3,35.0,snr_db,0.95,1000,125,True,2.6050426626731147,2.6125788857839787,2.499850400723192,2.695612131727657,1.0,0.0
GaussNoise,3,35.0,psnr_db,0.95,1000,125,True,2.6050426931170447,2.6125787655110173,2.5094317281467005,2.701101102807386,1.0,0.0
GaussNoise,3,35.0,ssim,0.95,1000,125,True,0.12034976363182068,0.1233060359954834,0.11690643962621688,0.12409112343788146,1.0,0.0
GaussNoise,3,35.0,mae,0.95,1000,125,False,7.169002487182617,7.368803024291992,6.895875192260743,7.416337534713746,1.0,0.0
GaussNoise,3,35.0,orb_match_retention,0.95,1000,125,True,-0.025959999999999997,-0.026249999999999996,-0.029982250000000002,-0.021759500000000005,0.144,0.0
GaussNoise,3,35.0,canny_f1,0.95,1000,125,True,-0.00030072047173446316,-0.0043264222135027675,-0.006851196233307659,0.006481837662425957,0.448,0.0
GaussNoise,3,35.0,segmentation_image_miou,0.95,1000,125,True,-0.005228712147543203,-0.0002963033135529036,-0.010245044152248273,-8.139449770074803e-05,0.496,0.0
GaussNoise,4,50.0,snr_db,0.95,1000,125,True,4.856526014016107,4.895259130088158,4.739592261024217,4.971544229925369,1.0,0.0
GaussNoise,4,50.0,psnr_db,0.95,1000,125,True,4.856526005136664,4.895259268982933,4.748116479475085,4.969011851104935,1.0,0.0
GaussNoise,4,50.0,ssim,0.95,1000,125,True,0.17095845019817352,0.17295122146606445,0.16699672107845545,0.17477684375643732,1.0,0.0
GaussNoise,4,50.0,mae,0.95,1000,125,False,15.877819534301757,15.990530014038086,15.505455430603027,16.255237576675412,1.0,0.0
GaussNoise,4,50.0,orb_match_retention,0.95,1000,125,True,-0.052469999999999996,-0.05125000000000002,-0.05826049999999999,-0.04643825,0.048,0.016
GaussNoise,4,50.0,canny_f1,0.95,1000,125,True,-0.02858364911922861,-0.03823056305646988,-0.04211164889234176,-0.015203478917958722,0.272,0.0
GaussNoise,4,50.0,segmentation_image_miou,0.95,1000,125,True,0.00582764991913384,0.009338969005511122,-0.0012940125106411088,0.01290002025508126,0.584,0.0
SevereJPEG,0,80.0,snr_db,0.95,1000,125,True,-0.004523468104551341,-0.005170499109802051,-0.011402052483275934,0.0029672914730047395,0.416,0.0
SevereJPEG,0,80.0,psnr_db,0.95,1000,125,True,-0.0045234663623478465,-0.005170159056042678,-0.01128118707931113,0.002755347710025015,0.416,0.0
SevereJPEG,0,80.0,ssim,0.95,1000,125,True,0.0011967644691467285,0.0012118220329284668,0.0011714345932006835,0.0012186656832695007,1.0,0.0
SevereJPEG,0,80.0,mae,0.95,1000,125,False,-0.01683424758911133,-0.017539143562316895,-0.0189785206079483,-0.014690556764602661,0.128,0.0
SevereJPEG,0,80.0,orb_match_retention,0.95,1000,125,True,-0.002290000000000001,-0.0012499999999999734,-0.0037402500000000036,-0.0008497499999999974,0.368,0.08
SevereJPEG,0,80.0,canny_f1,0.95,1000,125,True,0.0004483132078245129,-0.00019022294683912477,-0.0007291053513137205,0.0018072921316833275,0.472,0.0
SevereJPEG,0,80.0,segmentation_image_miou,0.95,1000,125,True,0.0006169701119166231,-0.0008449962425540747,-0.0014056879790922902,0.0030992339778964247,0.344,0.0
SevereJPEG,1,60.0,snr_db,0.95,1000,125,True,0.11898395605255135,0.1158303118374775,0.11168421596298314,0.12646279258161713,1.0,0.0
SevereJPEG,1,60.0,psnr_db,0.95,1000,125,True,0.11898395926793603,0.11583014613123765,0.11175054957850344,0.12621116701883645,1.0,0.0
SevereJPEG,1,60.0,ssim,0.95,1000,125,True,0.001846125602722168,0.001877129077911377,0.0018082446217536927,0.001882829177379608,1.0,0.0
SevereJPEG,1,60.0,mae,0.95,1000,125,False,0.02910379886627197,0.030078411102294922,0.027047656178474426,0.031118920969963073,0.984,0.0
SevereJPEG,1,60.0,orb_match_retention,0.95,1000,125,True,-0.0026400000000000004,-0.0025000000000000577,-0.004050500000000002,-0.0013397499999999968,0.32,0.056
SevereJPEG,1,60.0,canny_f1,0.95,1000,125,True,-0.0019351232245318952,-0.0006933827083742683,-0.003882589903741872,-0.000249158293923503,0.432,0.0
SevereJPEG,1,60.0,segmentation_image_miou,0.95,1000,125,True,-0.0006774452127314594,-0.0008497626743085851,-0.0024459759818111,0.0013725855130760985,0.328,0.0
SevereJPEG,2,40.0,snr_db,0.95,1000,125,True,0.1787871735185534,0.17798764801902678,0.17228512436897514,0.1852640728398141,1.0,0.0
SevereJPEG,2,40.0,psnr_db,0.95,1000,125,True,0.17878720113798488,0.17798759231774142,0.1721490716862427,0.18509143202209413,1.0,0.0
SevereJPEG,2,40.0,ssim,0.95,1000,125,True,0.003155866622924805,0.003162980079650879,0.0030885531544685364,0.003217743813991547,1.0,0.0
SevereJPEG,2,40.0,mae,0.95,1000,125,False,0.056804821968078616,0.05767381191253662,0.055150564646720884,0.05826786696910859,1.0,0.0
SevereJPEG,2,40.0,orb_match_retention,0.95,1000,125,True,-0.00012999999999999457,0.0,-0.0013502499999999969,0.001110500000000012,0.424,0.104
SevereJPEG,2,40.0,canny_f1,0.95,1000,125,True,-0.000929971209704652,-0.0016699623699911736,-0.0028694901406041665,0.0015719767729063235,0.296,0.0
SevereJPEG,2,40.0,segmentation_image_miou,0.95,1000,125,True,-0.0038198359233696747,-0.0011012108127632647,-0.006117830651147264,-0.0019216874485897739,0.336,0.0
SevereJPEG,3,20.0,snr_db,0.95,1000,125,True,0.31498813425285144,0.3209664485646506,0.3058424187460433,0.3240579786442673,1.0,0.0
SevereJPEG,3,20.0,psnr_db,0.95,1000,125,True,0.3149881076233012,0.32096654287310855,0.30523192904102914,0.3229999841482851,1.0,0.0
SevereJPEG,3,20.0,ssim,0.95,1000,125,True,0.008263002395629883,0.008192181587219238,0.008070273005962372,0.00844035347700119,1.0,0.0
SevereJPEG,3,20.0,mae,0.95,1000,125,False,0.12256950950622558,0.12355709075927734,0.11924604053497315,0.1260491545677185,1.0,0.0
SevereJPEG,3,20.0,orb_match_retention,0.95,1000,125,True,-0.00342,-0.004999999999999893,-0.0052099999999999915,-0.0015300000000000012,0.344,0.024
SevereJPEG,3,20.0,canny_f1,0.95,1000,125,True,-0.01628156014660409,-0.013719051849118702,-0.02093143796930066,-0.012353795697195587,0.136,0.0
SevereJPEG,3,20.0,segmentation_image_miou,0.95,1000,125,True,-0.002268860579557871,-0.0018944768441830906,-0.004138979724637953,-3.3848321171513374e-05,0.32,0.0
SevereJPEG,4,5.0,snr_db,0.95,1000,125,True,0.5299994788578895,0.5447736451498209,0.5168219227828245,0.542855332890558,1.0,0.0
SevereJPEG,4,5.0,psnr_db,0.95,1000,125,True,0.5299995120167493,0.544773950963716,0.5155105582731178,0.5430837520038961,1.0,0.0
SevereJPEG,4,5.0,ssim,0.95,1000,125,True,0.03244447660446167,0.03235805034637451,0.03165945297479629,0.0332082409620285,1.0,0.0
SevereJPEG,4,5.0,mae,0.95,1000,125,False,0.44963347244262697,0.4413447380065918,0.4349063750267029,0.4645525326728821,1.0,0.0
SevereJPEG,4,5.0,orb_match_retention,0.95,1000,125,True,0.0053000000000000035,0.003750000000000031,0.002689500000000007,0.007771250000000004,0.648,0.0
SevereJPEG,4,5.0,canny_f1,0.95,1000,125,True,-0.02228348160177956,-0.02183743548022765,-0.028637658435870104,-0.016128959385657837,0.136,0.0
SevereJPEG,4,5.0,segmentation_image_miou,0.95,1000,125,True,0.009386075347457274,0.007176838617526882,0.006734923581105257,0.012318628940068767,0.696,0.0
LowLight,0,0.8,snr_db,0.95,1000,125,True,4.448522433270186,4.098754999854032,4.182061096669536,4.720223140229573,1.0,0.0
LowLight,0,0.8,psnr_db,0.95,1000,125,True,4.4485224132846595,4.098754805579475,4.192850650643751,4.74829329354542,1.0,0.0
LowLight,0,0.8,ssim,0.95,1000,125,True,0.022129195690155028,0.02232944965362549,0.021776845598220823,0.022511523926258086,1.0,0.0
LowLight,0,0.8,mae,0.95,1000,125,False,8.00856909751892,7.965799331665039,7.84331661658287,8.181916582250595,1.0,0.0
LowLight,0,0.8,orb_match_retention,0.95,1000,125,True,-0.18292999999999995,-0.1775,-0.19079999999999997,-0.17482925000000002,0.0,0.0
LowLight,0,0.8,canny_f1,0.95,1000,125,True,0.14223711051053972,0.12182839119157995,0.12656854124839417,0.16069856109239508,0.992,0.0
LowLight,0,0.8,segmentation_image_miou,0.95,1000,125,True,0.0015687617539107816,3.7151205504293294e-05,-0.0018313067949447775,0.00493857558674595,0.504,0.0
