distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
GaussNoise,5.0,distorted,person,0.18015002424692253,0.3425486839181176,0.0639714993804213,0.5776223776223777,0.7172234847858179,0.25,0.641399416909621,0.3076923076923077,0.41587901701323254,715.0,6456.0,343.0
GaussNoise,5.0,distorted,bicycle,0.08895806761173572,0.16708633905843503,0.058787878787878785,0.3489208633093525,0.6820840865038419,0.25,0.6379310344827587,0.13309352517985612,0.22023809523809523,278.0,1650.0,58.0
GaussNoise,5.0,distorted,car,0.32777803288370483,0.5337351136061761,0.09374211455967701,0.6534740545294635,0.7616913097706006,0.25,0.8540925266903915,0.42216358839050133,0.5650382577987051,1137.0,7926.0,562.0
GaussNoise,5.0,distorted,motorcycle,0.056355267574760615,0.13233950091841762,0.07142857142857142,0.24324324324324326,0.6833472647833814,0.25,0.6,0.08108108108108109,0.14285714285714288,37.0,126.0,5.0
GaussNoise,5.0,distorted,bus,0.3594163719475315,0.5027793749274593,0.028169014084507043,0.5714285714285714,0.8161556820823191,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,426.0,8.0
GaussNoise,5.0,distorted,train,0.100990099009901,0.33663366336633666,0.011494252873563218,0.3333333333333333,0.6109976836497334,0.25,1.0,0.3333333333333333,0.5,3.0,87.0,1.0
GaussNoise,5.0,distorted,truck,0.1826140303024963,0.23565849686009419,0.02157164869029276,0.6086956521739131,0.7565519417414803,0.25,0.25925925925925924,0.30434782608695654,0.27999999999999997,23.0,649.0,27.0
GaussNoise,5.0,restored,person,0.18080556971707004,0.34363005562328697,0.06358024691358025,0.5762237762237762,0.7188112708894505,0.25,0.6443148688046647,0.3090909090909091,0.41776937618147447,715.0,6480.0,343.0
GaussNoise,5.0,restored,bicycle,0.0896798513198667,0.16915385741081065,0.05982905982905983,0.35251798561151076,0.6811827258077424,0.25,0.6206896551724138,0.12949640287769784,0.2142857142857143,278.0,1638.0,58.0
GaussNoise,5.0,restored,car,0.32754781197199795,0.5313994141321847,0.09432525072997335,0.6534740545294635,0.7620749316178926,0.25,0.849290780141844,0.4212840809146878,0.5631981187536743,1137.0,7877.0,564.0
GaussNoise,5.0,restored,motorcycle,0.05170447719013177,0.11586182203125972,0.07377049180327869,0.24324324324324326,0.6930380229313887,0.25,0.5,0.08108108108108109,0.13953488372093023,37.0,122.0,6.0
GaussNoise,5.0,restored,bus,0.36063542976371216,0.4976467546420194,0.02843601895734597,0.5714285714285714,0.8188156777847525,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,422.0,8.0
GaussNoise,5.0,restored,train,0.100990099009901,0.33663366336633666,0.011764705882352941,0.3333333333333333,0.6078184749304806,0.25,1.0,0.3333333333333333,0.5,3.0,85.0,1.0
GaussNoise,5.0,restored,truck,0.17649511883048535,0.231209591562943,0.0213089802130898,0.6086956521739131,0.7629055687592488,0.25,0.25,0.30434782608695654,0.27450980392156865,23.0,657.0,28.0
GaussNoise,10.0,distorted,person,0.16853968072860198,0.31840589070141284,0.06251993620414673,0.5482517482517483,0.7161096076191954,0.25,0.6296296296296297,0.2853146853146853,0.3926852743022136,715.0,6270.0,324.0
GaussNoise,10.0,distorted,bicycle,0.0825182575678011,0.16035191502646323,0.047164811870694226,0.32014388489208634,0.6990609784787878,0.25,0.6415094339622641,0.1223021582733813,0.2054380664652568,278.0,1887.0,53.0
