distortion,output_strength,mean_seg_change_vs_v3,mean_detection_change_vs_v3,mean_psnr_gain_vs_distorted,mean_ssim_gain_vs_distorted,mean_orb_gain_vs_distorted,mean_canny_gain_vs_distorted
GaussNoise,0.7,0.002349740091080832,-0.0007313800137861787,1.7660675457888835,0.07242069393396378,-0.01629166666666666,0.009491091733280393
SevereJPEG,0.7,-0.0008706431967228534,0.000991940995096799,0.26031701601497115,0.009319217006365458,-0.002083333333333333,-0.008126475491904272
LowLight,1.0,0.0,0.0,7.968019413693052,0.34572678357362746,-0.08629166666666668,0.33986124680004304
MotionBlur,1.0,0.0,0.0,2.2246740404769296,0.017673152685165405,0.14716666666666664,0.13425478656109974
