class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
person,0.21317545774804253,0.3804689316740798,0.07169811320754717,0.6551724137931034,0.699546481859232,29.0,265.0
bicycle,0.0,0.0,0.0,0.0,0.0,8.0,13.0
car,0.38272952977097036,0.5901237828631873,0.08137044967880086,0.6909090909090909,0.7740973456194422,55.0,467.0
motorcycle,,,0.0,0.0,0.0,0.0,3.0
bus,,,0.0,0.0,0.0,0.0,11.0
train,,,0.0,0.0,0.0,0.0,1.0
truck,0.5504950495049504,1.0,0.05263157894736842,1.0,0.7650120587274871,2.0,38.0
