class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
0,road,0.9692776454282244,0.983262764618305,3477934,3469904
1,sidewalk,0.7069830877145281,0.7997469987101895,403160,375325
2,building,0.8217609697885842,0.9289972916958054,1572940,1666519
3,wall,0.0,0.0,4345,1332
4,fence,0.011923583662714097,0.0460091509913574,3934,11427
5,pole,0.26842027340472785,0.45420888542478566,107772,123546
6,traffic light,0.6762407819267237,0.7111401754116018,64990,49571
7,traffic sign,0.6825237907425948,0.743970192689272,90716,75657
8,vegetation,0.8562982592274081,0.921797817988264,1923821,1920530
9,terrain,0.5392219797149826,0.65058829075774,148481,127266
10,sky,0.9135101727468495,0.9430820336306126,349503,340924
11,person,0.23549261878395228,0.2771938827876424,97430,44260
12,rider,0.0,0.0,5979,0
13,car,0.8760670704839345,0.9567391904117236,935142,980799
14,truck,0.6903189936757245,0.8116688116688117,48951,48337
15,bus,,,0,0
16,train,,,0,0
17,motorcycle,,,0,0
18,bicycle,0.22310020174848688,0.3598806725727717,11062,10763
