model,distortion,severity_index,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
pretrained,Clean,0,,person,0.16546040545016388,0.3103009222949378,0.06549217603036488,0.5387334315169366,0.718069261798885,0.25,0.6503785271851342,0.27835051546391754,0.38985148514851486,3395.0,27927.0,1453.0
pretrained,Clean,0,,bicycle,0.10770768850157446,0.21700844861845717,0.07227679225919953,0.4231759656652361,0.6911404852953659,0.25,0.6378737541528239,0.1648068669527897,0.26193724420190995,1165.0,6821.0,301.0
pretrained,Clean,0,,car,0.3452631702510912,0.5495127780058873,0.09905962128966223,0.665592091124006,0.7698555196832312,0.25,0.8369868473495417,0.4513217279174726,0.5864283719631388,4653.0,31264.0,2509.0
pretrained,Clean,0,,motorcycle,0.05088391054122243,0.11752399401876049,0.06303724928366762,0.2953020134228188,0.6720162108704046,0.25,0.56,0.09395973154362416,0.16091954022988506,149.0,698.0,25.0
pretrained,Clean,0,,bus,0.2805518162478909,0.3564365673961293,0.029514757378689346,0.6020408163265306,0.8352782293057512,0.25,0.4935064935064935,0.3877551020408163,0.4342857142857143,98.0,1999.0,77.0
pretrained,Clean,0,,train,0.032245804537809855,0.10546054605460545,0.014814814814814815,0.17391304347826086,0.6174277389650872,0.25,0.4,0.08695652173913043,0.14285714285714285,23.0,270.0,5.0
pretrained,Clean,0,,truck,0.13767213614257162,0.19670837052200382,0.016812373907195696,0.5376344086021505,0.781925174482067,0.25,0.2265625,0.3118279569892473,0.26244343891402716,93.0,2974.0,128.0
robust_seed_7,Clean,0,,person,0.23463653336023058,0.4442120009149573,0.05533933036059489,0.63240058910162,0.722313174174731,0.25,0.6449136276391555,0.3958762886597938,0.4906004745391494,3395.0,38797.0,2084.0
robust_seed_7,Clean,0,,bicycle,0.17699002680132656,0.37527727030537006,0.042591205117860645,0.6343347639484979,0.6965496988146299,0.25,0.6893203883495146,0.30472103004291845,0.4226190476190476,1165.0,17351.0,515.0
robust_seed_7,Clean,0,,car,0.4519496149024532,0.6783802368109287,0.11742374224217615,0.7644530410487858,0.7957513660194173,0.25,0.7531051964512041,0.6385127874489577,0.6910909513840429,4653.0,30292.0,3945.0
robust_seed_7,Clean,0,,motorcycle,0.12427212717859429,0.28740708946365073,0.08748481166464156,0.48322147651006714,0.6966088161098278,0.25,0.5142857142857142,0.24161073825503357,0.3287671232876712,149.0,823.0,70.0
robust_seed_7,Clean,0,,bus,0.3908501578343037,0.5050672160437809,0.06285178236397748,0.6836734693877551,0.8291550053009397,0.25,0.6417910447761194,0.4387755102040816,0.5212121212121212,98.0,1066.0,67.0
robust_seed_7,Clean,0,,train,0.1572935413973428,0.3135817098743119,0.023391812865497075,0.5217391304347826,0.7503107563066681,0.25,0.5,0.30434782608695654,0.3783783783783784,23.0,513.0,14.0
robust_seed_7,Clean,0,,truck,0.24583147019086443,0.3443471227932414,0.04251207729468599,0.4731182795698925,0.811518818783361,0.25,0.6041666666666666,0.3118279569892473,0.4113475177304964,93.0,1035.0,48.0
robust_seed_17,Clean,0,,person,0.23902811913480027,0.45891576335828427,0.05661549612985063,0.6441826215022092,0.7215563560132183,0.25,0.6504257332071902,0.4050073637702504,0.4991831548375386,3395.0,38629.0,2114.0
robust_seed_17,Clean,0,,bicycle,0.17043216151394577,0.3564374241978774,0.04829922933829391,0.6240343347639485,0.7008001209323544,0.25,0.6344463971880492,0.3098712446351931,0.41637831603229525,1165.0,15052.0,569.0
robust_seed_17,Clean,0,,car,0.455652460714136,0.6822035843225801,0.11295701969668366,0.771545239630346,0.796293406402884,0.25,0.7496877341993505,0.6449602407049215,0.6933918669131239,4653.0,31782.0,4003.0
robust_seed_17,Clean,0,,motorcycle,0.12886773213658276,0.29981790003406983,0.089179548156956,0.5033557046979866,0.7054371288578931,0.25,0.5060240963855421,0.28187919463087246,0.3620689655172414,149.0,841.0,83.0
robust_seed_17,Clean,0,,bus,0.43300478520800506,0.5623108038767485,0.0717896865520728,0.7244897959183674,0.8299908858359769,0.25,0.6944444444444444,0.5102040816326531,0.588235294117647,98.0,989.0,72.0
robust_seed_17,Clean,0,,train,0.20734696970179534,0.4228170069754229,0.014742014742014743,0.5217391304347826,0.7142910466830684,0.25,0.6153846153846154,0.34782608695652173,0.4444444444444444,23.0,814.0,13.0
