class_name,official_val_gt_instances,pretrained_mean_corrupted_map_50_95,robust_mean_corrupted_map_50_95,mean_corrupted_gain
person,3395,0.1335190398259645,0.20854978084441894,0.0750307410184545
bicycle,1165,0.08037398747689854,0.14873296966361577,0.06835898218671722
car,4653,0.3014327186272857,0.4322927540837907,0.13086003545650488
motorcycle,149,0.037238931846402805,0.1096971568213269,0.07245822497492409
bus,98,0.22749311863475255,0.38155743230928335,0.1540643136745308
train,23,0.0293840197441133,0.14409404473732507,0.11471002499321178
truck,93,0.10886426353373639,0.2175580538501985,0.10869379031646212
