distortion,mild_level,severe_level,mild_mean_snr_db,severe_mean_snr_db,pretrained_mean_map_50_95,robust_mean_map_50_95,mean_gain,minimum_condition_gain,maximum_condition_gain,seed_mean_gain_sd
GaussNoise,5.0,50.0,25.178301720729184,6.148252686035837,0.10125775031021231,0.21228193518922592,0.11102418487901358,0.08814600988388938,0.13091318900819363,0.00656795906000182
SevereJPEG,80.0,5.0,31.228169114230294,18.476975529710028,0.14548462566499407,0.2414096386324413,0.09592501296744718,0.09434568517056369,0.09930372881756933,0.005493410696913363
LowLight,0.8,0.1,13.821119120944102,0.873418402807999,0.14500078089806756,0.24856141761925515,0.10356063672118758,0.09570035835264343,0.1252088883150932,0.006791932913176212
MotionBlur,3.0,25.0,33.23259105302922,18.250329146935705,0.1330031743776711,0.2363082613076259,0.10330508692995481,0.1001217583390469,0.11091202747894598,0.006721227821983158
