sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
frankfurt_000001_010830,GaussNoise,0,5.0,25.31771627644825,19.427189565679342,0.92625,0.5475,0.9820474135622516,0.6803946954828792,0.5024764311880094,0.4294790863334685,218,207
frankfurt_000001_046779,GaussNoise,0,5.0,25.722320354376276,20.275278357659925,0.92625,0.46375,0.9736223931810234,0.6257095364663096,0.3583162649618152,0.33603412088562556,235,211
frankfurt_000001_058504,GaussNoise,0,5.0,25.520441297364236,21.11865288726897,0.91625,0.37625,0.9740173337767218,0.6096135006326772,0.5019946610871981,0.5357486880951255,176,175
munster_000007_000019,GaussNoise,0,5.0,24.609319072187535,21.996799016699295,0.92375,0.4025,0.9843215146008537,0.6747290104059561,0.5180848346616157,0.3859509492952144,152,145
munster_000159_000019,GaussNoise,0,5.0,26.441798114216702,25.658251339349853,0.90125,0.3925,0.9927993336768447,0.8150726038630236,0.512348825645213,0.4151619879861623,47,65
frankfurt_000001_010830,GaussNoise,1,10.0,19.3910599757296,19.405606522049574,0.88875,0.54,0.9644543079908784,0.6841993469500798,0.5066625448588188,0.41939972444674806,224,205
frankfurt_000001_046779,GaussNoise,1,10.0,19.848755133392075,20.243063231140926,0.86375,0.48375,0.955355747802317,0.6325720498708987,0.3611027178394795,0.32479786142869244,240,215
frankfurt_000001_058504,GaussNoise,1,10.0,19.60247507184212,21.076875621232404,0.87875,0.3875,0.959222995208114,0.6111191844476863,0.5556338944105859,0.53578373927993,185,179
munster_000007_000019,GaussNoise,1,10.0,18.642542939667482,21.933228900752127,0.865,0.4,0.957842165340963,0.6715002384347899,0.5347093790305363,0.3670071338445377,156,155
munster_000159_000019,GaussNoise,1,10.0,20.482721736951564,25.46165167027035,0.8025,0.3675,0.9770811800858514,0.8135106471777797,0.5302300002841932,0.4101812592675528,54,64
frankfurt_000001_010830,GaussNoise,2,20.0,13.59781372094554,19.291860045779426,0.8375,0.54875,0.9376034548121189,0.6852942711202873,0.5468190521045858,0.414137214098616,247,211
frankfurt_000001_046779,GaussNoise,2,20.0,14.112006260573928,20.09590968257063,0.7625,0.46,0.908954318043348,0.6470859734702337,0.3944625293506696,0.3217185882612548,259,208
frankfurt_000001_058504,GaussNoise,2,20.0,13.816594038003185,20.801043903126594,0.77,0.3925,0.9024072670263388,0.6124016382154832,0.49823556998151675,0.534728827277267,231,180
munster_000007_000019,GaussNoise,2,20.0,12.756035590149757,21.572620910751468,0.78125,0.4175,0.9226762070110079,0.6730916375219949,0.5233935052092257,0.407727599543172,190,153
munster_000159_000019,GaussNoise,2,20.0,14.57450859118985,24.482998757114483,0.67375,0.3675,0.9555291786840069,0.8210800033446273,0.46546109909591815,0.39654567259678536,71,72
frankfurt_000001_010830,GaussNoise,3,35.0,9.148360950643845,18.70297730653576,0.7225,0.5275,0.8920714752396041,0.7077069357031216,0.48992887829798865,0.3375686837568658,271,219
frankfurt_000001_046779,GaussNoise,3,35.0,9.598866035644427,19.372533396912267,0.605,0.3775,0.8615564206990088,0.6603921277817125,0.34873744812967844,0.29526483602181763,268,226
frankfurt_000001_058504,GaussNoise,3,35.0,9.416256048330453,19.772401889473702,0.63125,0.3625,0.8478448081765354,0.630438090551272,0.5514445655846669,0.42627141246843897,265,210
