distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,20.0,distorted,2,building,0.7813743847098619,0.9407758719340852,1572940,1800666
GaussNoise,20.0,distorted,3,wall,0.0,0.0,4345,0
GaussNoise,20.0,distorted,4,fence,0.013644028821094589,0.06786985256736146,3934,15902
GaussNoise,20.0,distorted,5,pole,0.30051511193906166,0.42061017704041864,107772,88399
GaussNoise,20.0,distorted,6,traffic light,0.4134490369788045,0.42080320049238346,64990,28504
GaussNoise,20.0,distorted,7,traffic sign,0.5569822170582327,0.6235504210944045,90716,67408
GaussNoise,20.0,distorted,8,vegetation,0.8167005205731855,0.8796644802193135,1923821,1840635
GaussNoise,20.0,distorted,9,terrain,0.4652552895444534,0.5021921996753793,148481,86354
GaussNoise,20.0,distorted,10,sky,0.9161040970216264,0.9691275897488719,349503,358942
GaussNoise,20.0,distorted,11,person,0.31323226178531643,0.40693831468746794,97430,68795
GaussNoise,20.0,distorted,12,rider,0.0,0.0,5979,0
GaussNoise,20.0,distorted,13,car,0.8687535428482366,0.935799055116763,935142,947274
GaussNoise,20.0,distorted,14,truck,0.6776157072337898,0.7459296030724603,48951,41449
GaussNoise,20.0,distorted,15,bus,,,0,0
GaussNoise,20.0,distorted,16,train,,,0,0
GaussNoise,20.0,distorted,17,motorcycle,,,0,0
GaussNoise,20.0,distorted,18,bicycle,0.2013619194552322,0.3421623576206834,11062,11520
GaussNoise,20.0,restored,0,road,0.9505251764098195,0.9693225920905917,3477934,3440019
GaussNoise,20.0,restored,1,sidewalk,0.520242306680013,0.6226609782716539,403160,330401
GaussNoise,20.0,restored,2,building,0.7262996587223468,0.9157062570727428,1572940,1850547
GaussNoise,20.0,restored,3,wall,0.0,0.0,4345,57823
GaussNoise,20.0,restored,4,fence,0.0,0.0,3934,30030
GaussNoise,20.0,restored,5,pole,0.2678305238535732,0.42178859072857516,107772,107408
GaussNoise,20.0,restored,6,traffic light,0.6062800641368252,0.6981689490690876,64990,55224
GaussNoise,20.0,restored,7,traffic sign,0.5349799454952059,0.6513514705233917,90716,78821
GaussNoise,20.0,restored,8,vegetation,0.7603699330213958,0.8207083715168927,1923821,1731559
GaussNoise,20.0,restored,9,terrain,0.3492507962293996,0.44016406139506065,148481,104007
GaussNoise,20.0,restored,10,sky,0.8876184625487553,0.9591047859388904,349503,363358
GaussNoise,20.0,restored,11,person,0.14527611645769453,0.19645899620240173,97430,53467
GaussNoise,20.0,restored,12,rider,0.0,0.0,5979,0
GaussNoise,20.0,restored,13,car,0.7707424170839146,0.884449634387077,935142,965047
GaussNoise,20.0,restored,14,truck,0.0,0.0,48951,0
GaussNoise,20.0,restored,15,bus,,,0,0
GaussNoise,20.0,restored,16,train,,,0,0
GaussNoise,20.0,restored,17,motorcycle,0.0,,0,77705
GaussNoise,20.0,restored,18,bicycle,0.02473743598645951,0.0257638763333936,11062,744
GaussNoise,35.0,distorted,0,road,0.9370562501298113,0.98588271082775,3477934,3610057
GaussNoise,35.0,distorted,1,sidewalk,0.4664263562852444,0.5607054271257069,403160,307545
GaussNoise,35.0,distorted,2,building,0.6670173318890092,0.9363974468193319,1572940,2108141
GaussNoise,35.0,distorted,3,wall,0.0,0.0,4345,7333
GaussNoise,35.0,distorted,4,fence,0.016244497264454788,0.29359430604982206,3934,68322
GaussNoise,35.0,distorted,5,pole,0.22036234052771148,0.29377760457261626,107772,67566
GaussNoise,35.0,distorted,6,traffic light,0.3953280478332869,0.41507924296045545,64990,30223
