distortion,level_index,level,sample_count,distorted_mean_snr_db,restored_mean_snr_db,snr_gain_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted,seg_restored,det_distorted,det_restored
GaussNoise,0,5.0,5,25.5223190229186,21.69523423333148,-3.827084789587122,0.91875,0.4365,0.9813615977595391,0.6811038693701692,0.5268838741088901,0.37438255842908735,0.27626596025295524,0.30528141288320637
GaussNoise,1,10.0,5,19.59351097151657,21.62408518908908,2.0305742175725108,0.85975,0.4357500000000001,0.9627912792856248,0.6825802933762469,0.528016697176751,0.3708650874720451,0.266934142085308,0.29351097190712994
GaussNoise,2,20.0,5,13.77139164017245,21.24888665986852,7.477495019696072,0.765,0.43725,0.9254340851153641,0.6877907047345252,0.497289195791896,0.3849501668603178,0.236450144794373,0.29146121751780685
GaussNoise,3,35.0,5,9.299981430718669,20.036702932013355,10.736721501294687,0.624,0.39425,0.8801978381278779,0.7008250963496441,0.3942045972519197,0.3990270612306664,0.16005301428716967,0.25732649861465906
GaussNoise,4,50.0,5,6.605820457310548,17.02348240848294,10.417661951172393,0.49175,0.3525,0.828444051224077,0.7297082794111995,0.33646218409927886,0.359110093024563,0.12795652823387577,0.17757772601476773
SevereJPEG,0,80.0,5,31.07371748960399,27.836899519111153,-3.2368179704928366,0.9035,0.8155000000000001,0.9808666005372004,0.8767898622898962,0.5180656435778875,0.47809960554785014,0.28608782461244386,0.2888147577531217
SevereJPEG,1,60.0,5,29.401120979283377,27.32255895339045,-2.0785620258929285,0.87475,0.79525,0.9774721773660835,0.8774751807025576,0.5163498591565414,0.48024832325529787,0.2754850874660616,0.2847564789991639
SevereJPEG,2,40.0,5,28.19063190079263,26.874601433172586,-1.3160304676200454,0.8592500000000001,0.791,0.9665509933657859,0.8720940932229819,0.4768834615298839,0.4659363932220431,0.2833991363238121,0.2875195816498164
SevereJPEG,3,20.0,5,25.563536313179238,25.32372973850379,-0.2398065746754483,0.79925,0.7609999999999999,0.9519769787311999,0.8739509500025913,0.45183525821966514,0.4481110137846615,0.2749472124750729,0.2650203908857915
SevereJPEG,4,5.0,5,18.764480761722844,19.47346516187651,0.7089844001536676,0.52075,0.5245,0.8826276236550081,0.8459332044335273,0.23658050867068242,0.2422395614546722,0.1920653766399228,0.20309941366598203
LowLight,0,0.8,5,13.84361073244057,4.641012707346642,-9.202598025093929,0.9629999999999999,0.1375,0.8195457064064124,0.40994607409484757,0.5315758957958139,0.5128922743491849,0.2898185896790833,0.28377169048993456
LowLight,1,0.6,5,7.891327355808369,5.853833746140134,-2.0374936096682346,0.95475,0.14800000000000002,0.4388511888947533,0.4335823372695436,0.5288727194273587,0.5098231753404079,0.28528801346592836,0.28467075471567543
LowLight,2,0.4,5,4.391756771693496,7.654599087851824,3.262842316158328,0.9227500000000001,0.16324999999999998,0.007814552887027372,0.46293672736274294,0.518308891200827,0.5108141804051541,0.298823392970393,0.2841855433105941
LowLight,3,0.25,5,2.457466829627216,9.78078681917012,7.323319989542903,0.68925,0.21425,0.0,0.4817496008243546,0.4772987791544394,0.51952841696554,0.26378965577034674,0.2837375203143685
LowLight,4,0.1,5,0.8769854065281036,9.478906649621582,8.601921243093479,0.0,0.38775000000000004,0.0,0.30834905441446026,0.4120538810375528,0.47695812671660287,0.2171383777271908,0.2535483908329769
MotionBlur,0,3.0,5,33.022771447517115,32.57919192889288,-0.44357951862423306,0.8477499999999999,0.8630000000000001,0.9340329729083704,0.939679380375717,0.5281896388660097,0.5306518995232384,0.29223942092913213,0.2929544271265808
MotionBlur,1,5.0,5,26.933660280642947,27.205844629435695,0.27218434879274866,0.6625,0.6805,0.7930198109231255,0.8551780972656635,0.5271207428219895,0.52965665085614,0.28563799794714506,0.28609866206761203
MotionBlur,2,9.0,5,23.568083331324175,23.6789241126262,0.11084078130202357,0.40099999999999997,0.4375,0.6148073900468006,0.7418452426659142,0.48387893277044813,0.5271421313748558,0.29237113047146274,0.2900481537787928
MotionBlur,3,15.0,5,20.33381056717518,20.093120788719727,-0.24068977845545447,0.14975,0.15,0.35866580014788313,0.6031289469252341,0.45436438561697207,0.4894749938822559,0.2622902497197076,0.24412975390456124
MotionBlur,4,25.0,5,17.84605804472762,17.085201384656308,-0.7608566600713118,0.03,0.0245,0.1661395753081613,0.5192326272620474,0.4323243432628513,0.45003017223896985,0.21488448740850533,0.15847713869391172
