class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
person,0.2118595790770737,0.3807434327102691,0.07048458149779736,0.5633802816901409,0.7257314615325269,142.0,1135.0
bicycle,0.06852702378984347,0.15388289733081026,0.03523035230352303,0.26,0.6623734072829637,50.0,369.0
car,0.3608930224131909,0.5627978723207226,0.08908973531310523,0.6831683168316832,0.7746884418502965,202.0,1549.0
motorcycle,0.26408653908869145,0.6043908738699957,0.09259259259259259,0.7142857142857143,0.6994392584737951,7.0,54.0
bus,0.0504950495049505,0.2524752475247525,0.014705882352941176,0.5,0.5888440486529215,2.0,68.0
train,,,0.0,0.0,0.0,0.0,18.0
truck,0.39550919377652055,0.6962517680339463,0.04424778761061947,0.8333333333333334,0.784641366155298,6.0,113.0
