distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,5.0,distorted,person,0.17947044164686704,0.3390189137410153,0.0636053366428793,0.5734265734265734,0.7187057152659474,715.0,6446.0
GaussNoise,5.0,distorted,bicycle,0.08859479737525601,0.16530466615798806,0.058146577831617204,0.34532374100719426,0.6815293988196901,278.0,1651.0
GaussNoise,5.0,distorted,car,0.3272571270212486,0.5283858046154373,0.09239884028740704,0.644678979771328,0.7654914869186787,1137.0,7933.0
GaussNoise,5.0,distorted,motorcycle,0.056355267574760615,0.13233950091841762,0.072,0.24324324324324326,0.6833472818175409,37.0,125.0
GaussNoise,5.0,distorted,bus,0.3594163719475315,0.5027793749274593,0.02830188679245283,0.5714285714285714,0.8162615315818696,21.0,424.0
GaussNoise,5.0,distorted,train,0.100990099009901,0.33663366336633666,0.011363636363636364,0.3333333333333333,0.6102680914566286,3.0,88.0
GaussNoise,5.0,distorted,truck,0.18261432114399428,0.23564661906563092,0.02157164869029276,0.6086956521739131,0.7567942457475203,23.0,649.0
GaussNoise,5.0,restored,person,0.15284525846268643,0.28787131866850857,0.054614220877458396,0.5048951048951049,0.7177013081213403,715.0,6610.0
GaussNoise,5.0,restored,bicycle,0.06749317633085491,0.11806583686992952,0.06577344701583435,0.19424460431654678,0.7103965648507488,278.0,821.0
GaussNoise,5.0,restored,car,0.2954021886433946,0.4707113673127971,0.08652224672460761,0.5866314863676341,0.7693669153344601,1137.0,7709.0
GaussNoise,5.0,restored,motorcycle,0.05177282121650948,0.1257052981517898,0.03940886699507389,0.21621621621621623,0.6715265372301743,37.0,203.0
GaussNoise,5.0,restored,bus,0.2428540376898897,0.28705549888457654,0.025157232704402517,0.38095238095238093,0.8356829275996746,21.0,318.0
GaussNoise,5.0,restored,train,0.0016030174446016031,0.01603017444601603,0.008928571428571428,0.3333333333333333,0.5335526766803779,3.0,112.0
GaussNoise,5.0,restored,truck,0.20643079088547078,0.243260261241603,0.017980636237897647,0.5652173913043478,0.8216225899106947,23.0,723.0
GaussNoise,10.0,distorted,person,0.16768264706986208,0.3153732532461573,0.061673306772908366,0.5412587412587413,0.718002108796254,715.0,6275.0
GaussNoise,10.0,distorted,bicycle,0.08257865948622012,0.16067638203704915,0.047164811870694226,0.32014388489208634,0.6989950416149592,278.0,1887.0
GaussNoise,10.0,distorted,car,0.3117619861525868,0.5100584448542488,0.0820285908781484,0.6358839050131926,0.7592991415131355,1137.0,8814.0
GaussNoise,10.0,distorted,motorcycle,0.029953259124682784,0.09240129758317446,0.05426356589147287,0.1891891891891892,0.7135167812343299,37.0,129.0
GaussNoise,10.0,distorted,bus,0.3393240113485033,0.43904425530272323,0.03225806451612903,0.5714285714285714,0.8318768770930624,21.0,372.0
GaussNoise,10.0,distorted,train,0.02244224422442244,0.1122112211221122,0.011111111111111112,0.3333333333333333,0.5736222995063476,3.0,90.0
