distortion,level_index,level,sample_count,distorted_mean_snr_db,restored_mean_snr_db,snr_gain_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted,seg_restored,det_distorted,det_restored
GaussNoise,0,5.0,125,25.238656503433706,21.75849308264538,-3.480163420788326,0.9089400000000001,0.3586099999999998,0.9683186031456724,0.5607041324691096,0.5818804804245822,0.4825594403892004,0.18495691795993704,0.14548589866762965
GaussNoise,1,10.0,125,19.286547828306666,21.710540823364443,2.4239929950577768,0.84434,0.35856,0.9440569342797865,0.5617910732864038,0.5642378572479964,0.4812401976253234,0.16070566280978957,0.14397408838436124
GaussNoise,2,20.0,125,13.410286555971492,21.427853368788302,8.01756681281681,0.72222,0.3588,0.8935580699759159,0.5684137670727839,0.5470070798575563,0.4768787110872889,0.12561461723643613,0.14747144343969035
GaussNoise,3,35.0,125,8.893879383749889,20.327188228808936,11.433308845059047,0.5626700000000001,0.34558999999999995,0.8295841317483682,0.5917076560666673,0.4737431610765992,0.4615785629690466,0.06385337578658347,0.12506045869398644
GaussNoise,4,50.0,125,6.195878545372673,17.536586533559216,11.340707988186544,0.42839,0.3021500000000001,0.7715184428647536,0.6277436272983796,0.42010335716547326,0.4169721204162412,0.029726973098698845,0.0837110011100877
SevereJPEG,0,80.0,125,31.325761684569365,28.0233342636207,-3.302427420948664,0.9036599999999999,0.79124,0.976364751848151,0.8290377235146934,0.5756477630479071,0.5794239074183024,0.17430258739895801,0.1685081630351282
SevereJPEG,1,60.0,125,29.599658639517774,27.490922770837905,-2.1087358686798687,0.8738900000000001,0.7799400000000002,0.9680009469106637,0.825443373671534,0.5752752083196073,0.5662882938301823,0.17680955607619822,0.1667570998478792
SevereJPEG,2,40.0,125,28.369669776791945,27.041761260540223,-1.3279085162517212,0.84521,0.7674000000000001,0.9548584542093858,0.8220031009657036,0.567926171761986,0.5556033994244216,0.17607642442469412,0.16907000254559787
SevereJPEG,3,20.0,125,25.723066916700166,25.50662642698158,-0.2164404897185861,0.77983,0.7281099999999999,0.9298964113839788,0.8160534623056996,0.5223994363708113,0.5172004552362554,0.1631386988798448,0.15956055147896495
SevereJPEG,4,5.0,125,18.50468299320412,19.144759329128522,0.6400763359244017,0.4447999999999999,0.4476299999999999,0.8350520281494204,0.7885732142061335,0.3201545331110317,0.34193957122791263,0.10690794370690307,0.11163464771140195
LowLight,0,0.8,125,13.822912186791497,4.565701947342066,-9.257210239449432,0.9595899999999999,0.1724,0.7210152494483981,0.3727689870912491,0.5825540154940102,0.5530467087086395,0.17292573671173495,0.18050475620477832
LowLight,1,0.6,125,7.880950660435266,5.912133978781519,-1.9688166816537471,0.94396,0.18383000000000005,0.2823552429850517,0.399551537086646,0.5792701030146162,0.5566909471193461,0.17249035802851473,0.18388975771600283
LowLight,2,0.4,125,4.3847848960593305,7.9868872524357615,3.602102356376431,0.8563800000000001,0.20323000000000002,0.007609760631802313,0.44317613133115397,0.5756033287872377,0.557216004808785,0.16753907684914826,0.1781827977176052
LowLight,3,0.25,125,2.455643534435188,10.482692043000347,8.027048508565159,0.4828299999999999,0.23563999999999996,0.0,0.49416979669265626,0.5632675363171656,0.5605457523343818,0.149253071880552,0.17567178689792304
LowLight,4,0.1,125,0.8736820382822406,10.314059309939735,9.440377271657495,1e-05,0.34337999999999996,0.0,0.2994896283429447,0.506874767725492,0.5376430355878455,0.09533335849945297,0.17491182417639045
MotionBlur,0,3.0,125,33.44332108472217,32.97396886931214,-0.4693522154100336,0.8480599999999999,0.86262,0.9066286358458427,0.9139420836357073,0.5806074406641958,0.5814452517941122,0.17160822280673088,0.1740102500094971
MotionBlur,1,5.0,125,27.497189104952337,27.7543669123886,0.25717780743626406,0.6547800000000001,0.67844,0.7093393459348147,0.8006168227233054,0.5762221213603285,0.575997622209954,0.17001536456066418,0.16700416519589886
MotionBlur,2,9.0,125,24.09807720919974,24.18040403409214,0.08232682489239807,0.40765999999999997,0.43271,0.4892465249815595,0.6516579999865039,0.5665408740161805,0.5705596897735414,0.15213980972737645,0.15152716458721288
MotionBlur,3,15.0,125,20.894327449793806,20.642497496153865,-0.2518299536399411,0.14374,0.15031999999999998,0.24112577944343758,0.5205935607834895,0.5435562035374722,0.5356580344159285,0.12915858175358302,0.13369691112269047
MotionBlur,4,25.0,125,18.42366432121928,17.6263789282864,-0.7972853929328814,0.026930000000000003,0.024630000000000003,0.10651143758705803,0.4404471395538218,0.48764207152360434,0.48149339783051276,0.0870040099950709,0.08648055972287942
