distortion,level_index,level,metric,confidence_level,bootstrap_resamples,pair_count,higher_is_better,mean_improvement,median_improvement,ci_low,ci_high,win_rate,tie_rate
GaussNoise,0,5.0,snr_db,0.95,1000,125,True,1.0209549461272922,1.0614324044013657,0.9786095071594464,1.0640051952313065,1.0,0.0
GaussNoise,0,5.0,psnr_db,0.95,1000,125,True,1.0209549182811175,1.061432140850819,0.9759879772650173,1.0623108072449512,1.0,0.0
GaussNoise,0,5.0,ssim,0.95,1000,125,True,0.020887248039245604,0.021069049835205078,0.019877977943420413,0.02189894834756851,1.0,0.0
GaussNoise,0,5.0,mae,0.95,1000,125,False,0.4603975200653076,0.4840574264526367,0.44080744252204895,0.47955867137908936,1.0,0.0
GaussNoise,0,5.0,orb_match_retention,0.95,1000,125,True,-0.0026299999999999965,-0.0024999999999999467,-0.003880499999999996,-0.001369749999999996,0.296,0.064
GaussNoise,0,5.0,canny_f1,0.95,1000,125,True,0.00018112820453152167,-0.0001785342383023858,-0.0008084883522537191,0.0010578957618010854,0.464,0.0
GaussNoise,0,5.0,segmentation_image_miou,0.95,1000,125,True,0.00022178452787108882,-0.0004821809144094358,-0.002055705879813254,0.0023491379353846246,0.352,0.0
GaussNoise,1,10.0,snr_db,0.95,1000,125,True,1.4906148651934534,1.5222828166141582,1.4346963861285646,1.5483707577071506,1.0,0.0
GaussNoise,1,10.0,psnr_db,0.95,1000,125,True,1.4906148815850504,1.5222829608613822,1.431585235038083,1.5498596795211916,1.0,0.0
GaussNoise,1,10.0,ssim,0.95,1000,125,True,0.06920148134231567,0.06928044557571411,0.06656486016511917,0.07157329505681992,1.0,0.0
GaussNoise,1,10.0,mae,0.95,1000,125,False,1.3019260215759276,1.3475532531738281,1.2538463831901552,1.3490550377845762,1.0,0.0
GaussNoise,1,10.0,orb_match_retention,0.95,1000,125,True,-0.002999999999999999,-0.003750000000000031,-0.004369999999999996,-0.0016197499999999951,0.328,0.032
