distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,20.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,20.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GaussNoise,35.0,pretrained,person,0.13286710696903137,0.24019606846455163,0.041353383458646614,0.3793103448275862,0.7220460763741939,29.0,266.0
GaussNoise,35.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,25.0
GaussNoise,35.0,pretrained,car,0.23836805248987827,0.45543322110650186,0.05680119581464873,0.6909090909090909,0.710096301722667,55.0,669.0
GaussNoise,35.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,8.0
GaussNoise,35.0,pretrained,bus,,,0.0,0.0,0.0,0.0,3.0
GaussNoise,35.0,pretrained,train,,,0.0,0.0,0.0,0.0,3.0
GaussNoise,35.0,pretrained,truck,0.268976897689769,0.55995599559956,0.06060606060606061,1.0,0.6720856816064642,2.0,33.0
GaussNoise,35.0,fine_tuned,person,0.0012512951485908843,0.003083415952822148,0.005333333333333333,0.27586206896551724,0.6712694943977331,29.0,1500.0
GaussNoise,35.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
GaussNoise,35.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
GaussNoise,35.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,35.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,35.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,35.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GaussNoise,50.0,pretrained,person,0.0964698194574769,0.23089151717749953,0.028985507246376812,0.3448275862068966,0.6671235882047626,29.0,345.0
GaussNoise,50.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,20.0
GaussNoise,50.0,pretrained,car,0.12987774562324061,0.27710621802375707,0.06356968215158924,0.4727272727272727,0.6697800842027765,55.0,409.0
GaussNoise,50.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,8.0
GaussNoise,50.0,pretrained,bus,,,0.0,0.0,0.0,0.0,2.0
GaussNoise,50.0,pretrained,train,,,0.0,0.0,0.0,0.0,7.0
GaussNoise,50.0,pretrained,truck,0.2854785478547855,0.5874587458745875,0.08,1.0,0.6970201813895025,2.0,25.0
GaussNoise,50.0,fine_tuned,person,0.0006190583825148859,0.0020998643874376366,0.004,0.20689655172413793,0.654906438901751,29.0,1500.0
GaussNoise,50.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
GaussNoise,50.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
GaussNoise,50.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,50.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,50.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,50.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SevereJPEG,80.0,pretrained,person,0.2304433415637214,0.40120097016880524,0.07196969696969698,0.6551724137931034,0.7081264789518465,29.0,264.0
SevereJPEG,80.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
SevereJPEG,80.0,pretrained,car,0.37798150709821793,0.5710551776558486,0.08167770419426049,0.6727272727272727,0.7716290176904249,55.0,453.0
SevereJPEG,80.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,80.0,pretrained,bus,,,0.0,0.0,0.0,0.0,9.0
SevereJPEG,80.0,pretrained,train,,,0.0,0.0,0.0,0.0,2.0
SevereJPEG,80.0,pretrained,truck,0.535926449787836,1.0,0.05405405405405406,1.0,0.7644456865212581,2.0,37.0
SevereJPEG,80.0,fine_tuned,person,0.002477532016654427,0.007442684038053728,0.01,0.5172413793103449,0.6848921037482442,29.0,1500.0
SevereJPEG,80.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
SevereJPEG,80.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
SevereJPEG,80.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,80.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,80.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,80.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SevereJPEG,60.0,pretrained,person,0.20883244419219596,0.37713173855517024,0.06498194945848375,0.6206896551724138,0.7141226107744609,29.0,277.0
SevereJPEG,60.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,14.0
SevereJPEG,60.0,pretrained,car,0.36786038091957507,0.595533341185182,0.08676789587852494,0.7272727272727273,0.7566212488591834,55.0,461.0
SevereJPEG,60.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,4.0
SevereJPEG,60.0,pretrained,bus,,,0.0,0.0,0.0,0.0,5.0
SevereJPEG,60.0,pretrained,train,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,60.0,pretrained,truck,0.5252475247524753,1.0,0.05555555555555555,1.0,0.7485249820931192,2.0,36.0
SevereJPEG,60.0,fine_tuned,person,0.0018638644330247981,0.005445998564563265,0.008666666666666666,0.4482758620689655,0.6922048729013718,29.0,1500.0
SevereJPEG,60.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
SevereJPEG,60.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
SevereJPEG,60.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,60.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,60.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,60.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SevereJPEG,40.0,pretrained,person,0.20291857972386795,0.364099709882764,0.057432432432432436,0.5862068965517241,0.7233254715075169,29.0,296.0
SevereJPEG,40.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,14.0
SevereJPEG,40.0,pretrained,car,0.3801829160664301,0.5830873620415379,0.0824295010845987,0.6909090909090909,0.7602749184638837,55.0,461.0
SevereJPEG,40.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,5.0
SevereJPEG,40.0,pretrained,bus,,,0.0,0.0,0.0,0.0,7.0
SevereJPEG,40.0,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
SevereJPEG,40.0,pretrained,truck,0.5504950495049504,1.0,0.05,1.0,0.7970709816859471,2.0,40.0
SevereJPEG,40.0,fine_tuned,person,0.0015718865237469744,0.005106116839839856,0.008,0.41379310344827586,0.6708096149484751,29.0,1500.0
SevereJPEG,40.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
SevereJPEG,40.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
SevereJPEG,40.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,40.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,40.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,40.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SevereJPEG,20.0,pretrained,person,0.2076497245209671,0.3590020213020413,0.05964912280701754,0.5862068965517241,0.7395314527245785,29.0,285.0
SevereJPEG,20.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,12.0
SevereJPEG,20.0,pretrained,car,0.36689160062684917,0.5614610294134361,0.07414829659318638,0.6727272727272727,0.7695400229008857,55.0,499.0
SevereJPEG,20.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,7.0
SevereJPEG,20.0,pretrained,bus,,,0.0,0.0,0.0,0.0,11.0
SevereJPEG,20.0,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
SevereJPEG,20.0,pretrained,truck,0.5252475247524753,1.0,0.043478260869565216,1.0,0.7489050238301183,2.0,46.0
SevereJPEG,20.0,fine_tuned,person,0.0014562066596537824,0.0037354073000885023,0.007333333333333333,0.3793103448275862,0.6891661407517772,29.0,1500.0
SevereJPEG,20.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
SevereJPEG,20.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
SevereJPEG,20.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,20.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,20.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,20.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
SevereJPEG,5.0,pretrained,person,0.16960277505841828,0.25836325332938154,0.0425531914893617,0.4827586206896552,0.7202789336693042,29.0,329.0
SevereJPEG,5.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,6.0
SevereJPEG,5.0,pretrained,car,0.2743463002581485,0.4871680237144782,0.06581352833638025,0.6545454545454545,0.7413651934380683,55.0,547.0
SevereJPEG,5.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,8.0
SevereJPEG,5.0,pretrained,bus,,,0.0,0.0,0.0,0.0,19.0
SevereJPEG,5.0,pretrained,train,,,0.0,0.0,0.0,0.0,3.0
SevereJPEG,5.0,pretrained,truck,0.3243124312431243,0.6149614961496149,0.022988505747126436,1.0,0.8051163514549129,2.0,87.0
SevereJPEG,5.0,fine_tuned,person,0.0010816281938885199,0.002464108922469678,0.005333333333333333,0.27586206896551724,0.6809575424444521,29.0,1500.0
SevereJPEG,5.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
SevereJPEG,5.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
SevereJPEG,5.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,5.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
SevereJPEG,5.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
