sample_id,distortion,level_index,level,snr_db,orb_clean_keypoints,orb_distorted_keypoints,orb_keypoint_retention,orb_ratio_matches,orb_spatial_inliers,orb_match_retention,orb_inlier_ratio,canny_clean_edge_pixels,canny_distorted_edge_pixels,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_classes_present,yolo_detection_objects,gt_detection_objects
frankfurt_000001_010830,GaussNoise,0,5.0,25.31771627644825,800.0,800.0,1.0,742.0,741.0,0.92625,0.9986522911051213,37878.0,37540.0,0.9910766143935794,0.9863079381992541,0.9778235387296056,0.9820474135622516,0.5024764311880094,11,218,18
frankfurt_000001_046779,GaussNoise,0,5.0,25.722320354376276,800.0,800.0,1.0,745.0,741.0,0.92625,0.9946308724832215,27947.0,27661.0,0.9897663434357892,0.9778388344600701,0.9694421583712026,0.9736223931810234,0.3583162649618152,14,235,27
frankfurt_000001_058504,GaussNoise,0,5.0,25.520441297364236,800.0,800.0,1.0,736.0,733.0,0.91625,0.9959239130434783,20579.0,20755.0,1.0085524077943535,0.9700794989159238,0.9779872685747607,0.9740173337767218,0.5019946610871981,10,176,19
munster_000007_000019,GaussNoise,0,5.0,24.609319072187535,800.0,800.0,1.0,741.0,739.0,0.92375,0.9973009446693657,11834.0,11829.0,0.999577488592192,0.9845295460309409,0.9841135710664188,0.9843215146008537,0.5180848346616157,15,152,21
munster_000159_000019,GaussNoise,0,5.0,26.441798114216702,800.0,800.0,1.0,725.0,721.0,0.90125,0.9944827586206897,7374.0,7345.0,0.9960672633577434,0.9940095302927161,0.9915920802820721,0.9927993336768447,0.512348825645213,15,47,9
frankfurt_000001_010830,GaussNoise,1,10.0,19.3910599757296,800.0,800.0,1.0,712.0,711.0,0.88875,0.9985955056179775,37878.0,38458.0,1.0153123184962247,0.9583701700556451,0.9706161888167274,0.9644543079908784,0.5066625448588188,11,224,18
frankfurt_000001_046779,GaussNoise,1,10.0,19.848755133392075,800.0,800.0,1.0,692.0,691.0,0.86375,0.9985549132947977,27947.0,28192.0,1.0087665939099009,0.9502695800227015,0.9604966543815079,0.955355747802317,0.3611027178394795,14,240,27
frankfurt_000001_058504,GaussNoise,1,10.0,19.60247507184212,800.0,800.0,1.0,704.0,703.0,0.87875,0.9985795454545454,20579.0,20914.0,1.0162787307449341,0.9516591756717988,0.9669080130229846,0.959222995208114,0.5556338944105859,9,185,19
munster_000007_000019,GaussNoise,1,10.0,18.642542939667482,800.0,800.0,1.0,696.0,692.0,0.865,0.9942528735632183,11834.0,12541.0,1.0597431130640527,0.9300693724583367,0.9873246577657597,0.957842165340963,0.5347093790305363,15,156,21
munster_000159_000019,GaussNoise,1,10.0,20.482721736951564,800.0,800.0,1.0,645.0,642.0,0.8025,0.9953488372093023,7374.0,7244.0,0.9823704909140223,0.9860574268360022,0.96826688364524,0.9770811800858514,0.5302300002841932,14,54,9
frankfurt_000001_010830,GaussNoise,2,20.0,13.59781372094554,800.0,800.0,1.0,671.0,670.0,0.8375,0.9985096870342772,37878.0,39817.0,1.0511906647658271,0.918351457919984,0.9576799197423307,0.9376034548121189,0.5468190521045858,10,247,18
frankfurt_000001_046779,GaussNoise,2,20.0,14.112006260573928,800.0,800.0,1.0,616.0,610.0,0.7625,0.9902597402597403,27947.0,29708.0,1.0630121301034101,0.8848794937390602,0.934375782731599,0.908954318043348,0.3944625293506696,13,259,27
frankfurt_000001_058504,GaussNoise,2,20.0,13.816594038003185,800.0,800.0,1.0,622.0,616.0,0.77,0.9903536977491961,20579.0,21466.0,1.0431021915544973,0.887449920804994,0.917877447883765,0.9024072670263388,0.49823556998151675,10,231,19
munster_000007_000019,GaussNoise,2,20.0,12.756035590149757,800.0,800.0,1.0,630.0,625.0,0.78125,0.9920634920634921,11834.0,12720.0,1.0748690214635794,0.8909591194968554,0.9567348318404597,0.9226762070110079,0.5233935052092257,15,190,21
munster_000159_000019,GaussNoise,2,20.0,14.57450859118985,800.0,800.0,1.0,547.0,539.0,0.67375,0.9853747714808044,7374.0,7667.0,1.0397342012476267,0.937654884570236,0.974098182804448,0.9555291786840069,0.46546109909591815,14,71,9
frankfurt_000001_010830,GaussNoise,3,35.0,9.148360950643845,800.0,800.0,1.0,583.0,578.0,0.7225,0.9914236706689536,37878.0,43264.0,1.1421933576218386,0.8471708579881657,0.941997993558266,0.8920714752396041,0.48992887829798865,10,271,18
frankfurt_000001_046779,GaussNoise,3,35.0,9.598866035644427,800.0,800.0,1.0,487.0,484.0,0.605,0.9938398357289527,27947.0,32096.0,1.1484595842129746,0.8146498005982054,0.9141947257308477,0.8615564206990088,0.34873744812967844,14,268,27
frankfurt_000001_058504,GaussNoise,3,35.0,9.416256048330453,800.0,800.0,1.0,518.0,505.0,0.63125,0.974903474903475,20579.0,23836.0,1.1582681374216435,0.8010991777143817,0.9003838864862238,0.8478448081765354,0.5514445655846669,9,265,19
munster_000007_000019,GaussNoise,3,35.0,8.240594881298648,800.0,800.0,1.0,530.0,523.0,0.65375,0.9867924528301887,11834.0,13900.0,1.17458171370627,0.8107913669064748,0.9406793983437552,0.8709191730013587,0.4423213351157812,15,160,21
munster_000159_000019,GaussNoise,3,35.0,10.095829237675975,800.0,800.0,1.0,419.0,406.0,0.5075,0.9689737470167065,7374.0,7659.0,1.0386493083807975,0.9136963050006528,0.9439924057499322,0.9285973135228822,0.3207295427240467,15,43,9
frankfurt_000001_010830,GaussNoise,4,50.0,6.486933116661274,800.0,800.0,1.0,509.0,496.0,0.62,0.9744597249508841,37878.0,47951.0,1.265932731400813,0.7718921398928072,0.927292887692064,0.8424863446511935,0.4393239720250534,10,234,18
frankfurt_000001_046779,GaussNoise,4,50.0,6.79711956702268,800.0,800.0,1.0,394.0,381.0,0.47625,0.9670050761421319,27947.0,35335.0,1.26435753390346,0.7363520588651479,0.891616273660858,0.8065801597124813,0.32329930988212185,15,279,27
frankfurt_000001_058504,GaussNoise,4,50.0,6.7521905858520235,800.0,800.0,1.0,403.0,385.0,0.48125,0.9553349875930521,20579.0,26563.0,1.2907818650080178,0.7116289575725634,0.8682151708051897,0.7821620447875605,0.43987398239633,11,206,19
munster_000007_000019,GaussNoise,4,50.0,5.568979300619784,800.0,800.0,1.0,424.0,416.0,0.52,0.9811320754716981,11834.0,16216.0,1.3702889978029407,0.7157128761716823,0.9447355078587122,0.8144298540733161,0.30660215719569056,17,63,21
munster_000159_000019,GaussNoise,4,50.0,7.423879716396983,800.0,800.0,1.0,300.0,289.0,0.36125,0.9633333333333334,7374.0,8432.0,1.1434770816381883,0.8508064516129032,0.9475183075671277,0.8965618528958339,0.24071008999736138,16,34,9
frankfurt_000001_010830,SevereJPEG,0,80.0,29.144509922194306,800.0,800.0,1.0,745.0,745.0,0.93125,1.0,37878.0,37732.0,0.9961455198268124,0.9854235131983462,0.98291884471197,0.9841695853898411,0.5012002366721814,11,210,18
frankfurt_000001_046779,SevereJPEG,0,80.0,29.61804512063431,800.0,800.0,1.0,734.0,730.0,0.9125,0.9945504087193461,27947.0,27874.0,0.9973879128350092,0.973631341034656,0.9732350520628332,0.9734331562159951,0.36956508333261745,14,211,27
frankfurt_000001_058504,SevereJPEG,0,80.0,31.324711824477205,800.0,800.0,1.0,718.0,716.0,0.895,0.9972144846796658,20579.0,20684.0,1.0051022887409495,0.9782440533745891,0.9842557947422129,0.9812407161508677,0.5034810251917095,10,161,19
munster_000007_000019,SevereJPEG,0,80.0,31.390350347408564,800.0,800.0,1.0,736.0,736.0,0.92,1.0,11834.0,12007.0,1.014618894710157,0.9735154493212292,0.9918032786885246,0.9825742773728205,0.5459003117799022,14,146,21
munster_000159_000019,SevereJPEG,0,80.0,33.89097023330556,800.0,800.0,1.0,689.0,687.0,0.85875,0.9970972423802612,7374.0,7250.0,0.9831841605641443,0.9897931034482759,0.9761323569297532,0.9829152675564772,0.490842954803697,15,52,9
frankfurt_000001_010830,SevereJPEG,1,60.0,27.504737070358672,800.0,800.0,1.0,727.0,726.0,0.9075,0.9986244841815681,37878.0,37669.0,0.9944822852315328,0.9803286522073854,0.9766355140186916,0.9784785983099143,0.5072464363171989,11,215,18
frankfurt_000001_046779,SevereJPEG,1,60.0,28.01697029630158,800.0,800.0,1.0,711.0,708.0,0.885,0.9957805907172996,27947.0,27323.0,0.9776720220417219,0.9813344069099293,0.9625004472751995,0.9718261852787965,0.35972438708692966,14,214,27
frankfurt_000001_058504,SevereJPEG,1,60.0,29.563987989851345,800.0,800.0,1.0,698.0,695.0,0.86875,0.995702005730659,20579.0,20435.0,0.9930025754409836,0.9730364570589675,0.9689975217454687,0.9710127894246059,0.5086290535891013,10,170,19
munster_000007_000019,SevereJPEG,1,60.0,29.652343587153716,800.0,800.0,1.0,714.0,710.0,0.8875,0.9943977591036415,11834.0,11750.0,0.9929018083488255,0.9793191489361702,0.9778604022308602,0.9785892319589027,0.5443354241426248,14,146,21
munster_000159_000019,SevereJPEG,1,60.0,32.26756595275157,800.0,800.0,1.0,665.0,660.0,0.825,0.9924812030075187,7374.0,7288.0,0.9883374016815839,0.9925905598243688,0.9823704909140223,0.9874540818581973,0.4853344202462459,15,55,9
frankfurt_000001_010830,SevereJPEG,2,40.0,26.293638013634787,800.0,800.0,1.0,706.0,705.0,0.88125,0.9985835694050992,37878.0,37391.0,0.9871429325729976,0.9728009414030114,0.9639368498864777,0.9683486109890811,0.49888291741437707,11,205,18
frankfurt_000001_046779,SevereJPEG,2,40.0,26.802869424756388,800.0,800.0,1.0,701.0,698.0,0.8725,0.9957203994293866,27947.0,27738.0,0.9925215586646151,0.9620376378974692,0.9590295917271979,0.9605312597823734,0.34860145335745557,15,231,27
frankfurt_000001_058504,SevereJPEG,2,40.0,28.405327781355773,800.0,800.0,1.0,715.0,714.0,0.8925,0.9986013986013986,20579.0,20729.0,1.0072889839156423,0.9493463264026244,0.9575781136109627,0.9534444525695472,0.5568032493121031,9,163,19
munster_000007_000019,SevereJPEG,2,40.0,28.46835722294372,800.0,800.0,1.0,687.0,686.0,0.8575,0.9985443959243085,11834.0,11963.0,1.0109007943214467,0.9633871102566246,0.9798039547067771,0.9715261844936003,0.5318431556586856,14,160,21
munster_000159_000019,SevereJPEG,2,40.0,30.982967061272475,800.0,800.0,1.0,639.0,634.0,0.7925,0.9921752738654147,7374.0,7172.0,0.9726064551125576,0.9919129949804797,0.9662327095199349,0.9789044589943277,0.48085432012915796,15,65,9
frankfurt_000001_010830,SevereJPEG,3,20.0,23.915287257248913,800.0,800.0,1.0,673.0,670.0,0.8375,0.9955423476968797,37878.0,37710.0,0.9955647077459211,0.952718111906656,0.9507629758698981,0.9517395397919015,0.44771125765742714,12,209,18
frankfurt_000001_046779,SevereJPEG,3,20.0,24.434097971303355,800.0,800.0,1.0,653.0,650.0,0.8125,0.9954058192955589,27947.0,27521.0,0.9847568612015601,0.9475673122342938,0.9351272050667334,0.9413061589753092,0.30938172296859207,15,225,27
frankfurt_000001_058504,SevereJPEG,3,20.0,25.894396027037402,800.0,800.0,1.0,647.0,641.0,0.80125,0.990726429675425,20579.0,20164.0,0.9798338111667234,0.947827811942075,0.9326497886194665,0.9401775465886468,0.55286908059081,9,202,19
munster_000007_000019,SevereJPEG,3,20.0,25.59601806936183,800.0,800.0,1.0,658.0,650.0,0.8125,0.9878419452887538,11834.0,11871.0,1.0031265844177792,0.9476034032516216,0.9595234071319926,0.9535261537380142,0.4429113939985671,15,153,21
munster_000159_000019,SevereJPEG,3,20.0,27.977882240944698,800.0,800.0,1.0,592.0,586.0,0.7325,0.9898648648648649,7374.0,7368.0,0.9991863303498779,0.9717698154180239,0.9745050176295091,0.9731354945621271,0.4714582021384289,15,72,9
frankfurt_000001_010830,SevereJPEG,4,5.0,17.623598431638886,800.0,800.0,1.0,488.0,482.0,0.6025,0.9877049180327869,37878.0,38279.0,1.0105866202017002,0.8908539930510201,0.8940545963356038,0.8924514251174003,0.34470611549934665,11,226,18
frankfurt_000001_046779,SevereJPEG,4,5.0,17.915980999346402,800.0,800.0,1.0,434.0,419.0,0.52375,0.9654377880184332,27947.0,27347.0,0.9785307904247326,0.8744286393388672,0.8586610369628225,0.8664731115437082,0.23878016470558003,15,253,27
frankfurt_000001_058504,SevereJPEG,4,5.0,19.15261452660736,800.0,800.0,1.0,421.0,407.0,0.50875,0.9667458432304038,20579.0,20544.0,0.9982992370863502,0.8558703271028038,0.8539773555566355,0.854922793475776,0.32000615986853853,12,219,19
munster_000007_000019,SevereJPEG,4,5.0,18.60271987491023,800.0,800.0,1.0,422.0,412.0,0.515,0.976303317535545,11834.0,11986.0,1.0128443467973636,0.8615050892708159,0.874683116444144,0.8680440908830841,0.2142078075607884,16,196,21
munster_000159_000019,SevereJPEG,4,5.0,20.52748997611134,800.0,800.0,1.0,378.0,363.0,0.45375,0.9603174603174603,7374.0,7492.0,1.0160021697857338,0.9232514682327816,0.9393816110659072,0.9312466972550724,0.2609136821778936,14,105,9
frankfurt_000001_010830,LowLight,0,0.8,13.838190304959388,800.0,800.0,1.0,777.0,776.0,0.97,0.9987129987129987,37878.0,25449.0,0.6718675748455568,0.9983496404573854,0.6949416547864196,0.8194629632168373,0.5020746621791303,11,209,18
