distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,35.0,18,bicycle,0.17086527929901424,0.21153498463207376,11062,4973
GaussNoise,50.0,0,road,0.8952248661819068,0.9841673246243315,3477934,3768409
GaussNoise,50.0,1,sidewalk,0.273163210696659,0.31904454807024507,403160,196342
GaussNoise,50.0,2,building,0.6447425962993057,0.9307335308403372,1572940,2161703
GaussNoise,50.0,3,wall,0.0,0.0,4345,152810
GaussNoise,50.0,4,fence,0.0,0.0,3934,65097
GaussNoise,50.0,5,pole,0.15019717270484054,0.18129940986527113,107772,41856
GaussNoise,50.0,6,traffic light,0.5165335249447004,0.5641175565471611,64990,42649
GaussNoise,50.0,7,traffic sign,0.08381360625141006,0.09009436042153535,90716,14971
GaussNoise,50.0,8,vegetation,0.6169210201093356,0.6598529696889679,1923821,1403319
GaussNoise,50.0,9,terrain,0.047895111871170015,0.056586364585367824,148481,35346
GaussNoise,50.0,10,sky,0.9074193704678694,0.9645668277525514,349503,359130
GaussNoise,50.0,11,person,0.22057641795699054,0.37752232371959354,97430,106106
GaussNoise,50.0,12,rider,0.0,0.0,5979,1040
GaussNoise,50.0,13,car,0.7948472968075643,0.8513765823800021,935142,862665
GaussNoise,50.0,14,truck,0.5563062623264533,0.5819901534187248,48951,30749
GaussNoise,50.0,15,bus,,,0,0
GaussNoise,50.0,16,train,,,0,0
GaussNoise,50.0,17,motorcycle,0.0,,0,1856
GaussNoise,50.0,18,bicycle,0.012216673069535151,0.014373531007051165,11062,2112
SevereJPEG,80.0,0,road,0.9690066519336954,0.9834993993560545,3477934,3472563
SevereJPEG,80.0,1,sidewalk,0.6669951248796746,0.7991913880345273,403160,402107
SevereJPEG,80.0,2,building,0.8134858804766969,0.9303794168881203,1572940,1689454
SevereJPEG,80.0,3,wall,0.0,0.0,4345,1726
SevereJPEG,80.0,4,fence,0.017156536773507116,0.06558210472801221,3934,11362
SevereJPEG,80.0,5,pole,0.2593073250507768,0.45608321270831015,107772,130936
SevereJPEG,80.0,6,traffic light,0.6679048924659856,0.6971841821818742,64990,48159
SevereJPEG,80.0,7,traffic sign,0.6739320578684388,0.7389435160280435,90716,75785
SevereJPEG,80.0,8,vegetation,0.84687611735306,0.907365602101235,1923821,1883021
SevereJPEG,80.0,9,terrain,0.4072650033792034,0.48295741542688964,148481,99306
SevereJPEG,80.0,10,sky,0.914271282439124,0.9477314930057825,349503,344026
SevereJPEG,80.0,11,person,0.2475456402930281,0.30590167299599713,97430,52772
SevereJPEG,80.0,12,rider,0.0,0.0,5979,0
SevereJPEG,80.0,13,car,0.872646178513116,0.9521709002483045,935142,975635
SevereJPEG,80.0,14,truck,0.6849377361130544,0.8000245143102286,48951,47387
SevereJPEG,80.0,15,bus,,,0,0
SevereJPEG,80.0,16,train,,,0,0
SevereJPEG,80.0,17,motorcycle,,,0,0
SevereJPEG,80.0,18,bicycle,0.2477198697068404,0.41249322003254385,11062,11921
SevereJPEG,60.0,0,road,0.9692615811577543,0.9831043372300912,3477934,3468843
SevereJPEG,60.0,1,sidewalk,0.685081407585493,0.7944538148625856,403160,384656
