epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7034,1.52273,1.34558,1.07413,0.42952,0.22508,0.2119,0.11653,1.36282,1.15956,1.04441,0.000332311,0.000332311,0.0671012
2,92.1258,1.43402,0.99817,1.04239,0.46181,0.29417,0.3085,0.1767,1.22238,0.90717,1.0018,0.000664628,0.000664628,0.0341002
3,137.722,1.40353,0.94375,1.03135,0.47793,0.29679,0.28179,0.16045,1.24828,0.92593,1.01702,0.000992889,0.000992889,0.00109514
4,183.075,1.38336,0.91381,1.0229,0.42843,0.31646,0.28987,0.16509,1.19576,0.85955,1.00153,0.000986323,0.000986323,0.000986323
5,228.157,1.36148,0.8884,1.01528,0.51348,0.29963,0.31104,0.18078,1.19867,0.84435,0.99426,0.000975773,0.000975773,0.000975773
6,273.801,1.33386,0.86127,1.00625,0.52573,0.34002,0.34748,0.20821,1.18484,0.83572,0.99189,0.00096232,0.00096232,0.00096232
7,319.615,1.32368,0.84844,1.00346,0.49574,0.29597,0.32424,0.19529,1.16074,0.84072,0.98624,0.000946048,0.000946048,0.000946048
8,364.224,1.30986,0.83159,0.99606,0.58555,0.30542,0.33925,0.19783,1.14298,0.81251,0.97339,0.000927057,0.000927057,0.000927057
9,410.021,1.29967,0.82051,0.99182,0.59503,0.34052,0.36809,0.22261,1.13216,0.77535,0.97709,0.000905463,0.000905463,0.000905463
10,455.531,1.28,0.80351,0.98557,0.5072,0.33609,0.36233,0.20345,1.12586,0.77426,0.96941,0.000881401,0.000881401,0.000881401
11,500.894,1.2706,0.79639,0.98395,0.55216,0.33755,0.35969,0.21185,1.12943,0.78205,0.97144,0.000855018,0.000855018,0.000855018
12,545.218,1.26485,0.7887,0.98137,0.53214,0.35269,0.36737,0.22306,1.11072,0.75948,0.96783,0.000826477,0.000826477,0.000826477
13,590.906,1.25798,0.78051,0.97711,0.56389,0.34981,0.37548,0.21696,1.10594,0.75561,0.96733,0.000795954,0.000795954,0.000795954
14,636.051,1.24963,0.77115,0.97572,0.51267,0.34495,0.35577,0.20904,1.10963,0.76383,0.96948,0.000763637,0.000763637,0.000763637
15,681.28,1.24222,0.76424,0.97001,0.54285,0.33254,0.36059,0.22322,1.09411,0.73989,0.96099,0.000729725,0.000729725,0.000729725
16,726.595,1.22989,0.7538,0.96816,0.61297,0.32212,0.37186,0.21933,1.10842,0.74932,0.96762,0.000694428,0.000694428,0.000694428
17,772.141,1.22374,0.74508,0.96445,0.62736,0.34662,0.37919,0.22457,1.08788,0.74309,0.95991,0.000657963,0.000657963,0.000657963
18,817.095,1.2191,0.74258,0.96262,0.58578,0.34635,0.38994,0.23481,1.09095,0.73504,0.96125,0.000620555,0.000620555,0.000620555
19,862.388,1.20636,0.73009,0.95817,0.58166,0.34723,0.37527,0.22702,1.07818,0.72133,0.95753,0.000582435,0.000582435,0.000582435
20,907.651,1.20074,0.72549,0.95569,0.60197,0.34477,0.38241,0.23397,1.0783,0.7206,0.95759,0.000543837,0.000543837,0.000543837
21,953.43,1.19429,0.72099,0.95344,0.58514,0.33128,0.37489,0.22729,1.06926,0.73494,0.95744,0.000505,0.000505,0.000505
22,998.615,1.18337,0.71119,0.95045,0.54921,0.36647,0.38365,0.23197,1.07063,0.71251,0.95727,0.000466163,0.000466163,0.000466163
23,1043.36,1.18044,0.70668,0.94982,0.60273,0.33219,0.37552,0.22733,1.06688,0.71669,0.95631,0.000427565,0.000427565,0.000427565
24,1089.12,1.1759,0.7,0.94609,0.54201,0.37473,0.39018,0.23929,1.05635,0.70376,0.95171,0.000389445,0.000389445,0.000389445
25,1134.7,1.16509,0.69406,0.94301,0.58796,0.3508,0.37904,0.23248,1.06185,0.70536,0.95338,0.000352037,0.000352037,0.000352037
26,1179.86,1.14724,0.68113,0.93986,0.59152,0.33998,0.39074,0.24025,1.05996,0.69726,0.95302,0.000315572,0.000315572,0.000315572
27,1224.82,1.15507,0.68321,0.9396,0.58426,0.37583,0.39163,0.23493,1.05658,0.6979,0.95334,0.000280275,0.000280275,0.000280275
28,1270.48,1.14819,0.67551,0.93539,0.56406,0.37877,0.39712,0.23672,1.05751,0.69687,0.95249,0.000246363,0.000246363,0.000246363
29,1315.28,1.13775,0.66749,0.93385,0.59158,0.36906,0.39436,0.24148,1.05104,0.68864,0.94936,0.000214046,0.000214046,0.000214046
30,1360.48,1.1385,0.66919,0.93431,0.56394,0.36446,0.38892,0.23864,1.05036,0.69221,0.94661,0.000183523,0.000183523,0.000183523
31,1406.1,1.13328,0.66329,0.93202,0.55147,0.37738,0.39164,0.241,1.05295,0.68953,0.9486,0.000154982,0.000154982,0.000154982
32,1451.6,1.12672,0.65981,0.92983,0.58273,0.38121,0.39949,0.24659,1.05065,0.68942,0.94758,0.000128599,0.000128599,0.000128599
33,1496.5,1.11135,0.64994,0.92754,0.55823,0.3778,0.40111,0.24494,1.04599,0.68758,0.94522,0.000104537,0.000104537,0.000104537
