distortion,level_index,level,sample_count,mean_snr_db,orb_keypoint_retention,orb_match_retention,orb_inlier_ratio,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_pixel_accuracy,det_map_50_95,det_map_50,det_precision_50,det_recall_50,det_mean_matched_iou_50
GaussNoise,0,5.0,20,25.469253333921806,1.0,0.9143125000000001,0.9963067673016534,1.0071302433316671,0.9730828742209955,0.9795731625462085,0.9762577695053298,0.5486018424061692,0.91251812664879,0.20554862021492196,0.40460610336920694,0.05388257855003026,0.5620789201656585,0.699538419545009
GaussNoise,1,10.0,20,19.52056101258981,1.0,0.8549374999999999,0.9940594891337762,1.015168924511218,0.9481260403343754,0.960888071648669,0.9541418816610877,0.5436406674577261,0.9111577966782929,0.18196159984129645,0.37206804039549984,0.05317188836520223,0.5396039382610294,0.6965708370379006
GaussNoise,2,20.0,20,13.653544784279617,1.0,0.7394375,0.9878416134861855,1.0750020846371622,0.8842294675188105,0.9415080217881494,0.9113834011005473,0.5307947889496935,0.896288276177541,0.15488232658887244,0.3046367366371422,0.047855015755360164,0.48847060359959543,0.5894388143127368
GaussNoise,3,35.0,20,9.139010458070091,1.0,0.58525,0.9743750909181198,1.1824121464596324,0.8022045608431835,0.9168912388667534,0.854088396815856,0.44549379360006497,0.8617381000181148,0.07226621443700125,0.13618263946075446,0.03189676781593193,0.3049657682065993,0.5619306346906092
GaussNoise,4,50.0,20,6.436774114998078,1.0,0.4545,0.957631441918406,1.3622127629869727,0.7200805945717778,0.9107088903457059,0.8010805245455048,0.40447371136375865,0.8368739901176698,0.03795620146371473,0.07411185130922902,0.036010666458559444,0.21327635781686818,0.4460576454214175
SevereJPEG,0,80.0,20,31.23343469078685,1.0,0.9045624999999999,0.9965477379802838,1.0029973682674922,0.9777221303436855,0.9816147133106782,0.9796109685384151,0.5541669746655319,0.9112177459021401,0.22731848332150195,0.44218826431427455,0.05796893183154647,0.5907111093403103,0.7128617761783836
SevereJPEG,1,60.0,20,29.515600178275246,1.0,0.8744374999999998,0.9952768746835101,1.0025265810072965,0.9698288410377133,0.9738961977107408,0.9718130694925151,0.550809612982214,0.91064550577356,0.21568941888332663,0.42648922029916697,0.05618501717001878,0.5901416862008132,0.7077108020523117
SevereJPEG,2,40.0,20,28.290152545316687,1.0,0.8530625000000001,0.9946454482907325,0.9938439548448535,0.9629426266754463,0.9595570264805893,0.9611231443671582,0.5422552862163786,0.9076094419404499,0.22525340263535043,0.4443976762382338,0.053241877356757256,0.5855068142629153,0.7119257048244204
SevereJPEG,3,20.0,20,25.71565237709266,1.0,0.7900625,0.9894378633890486,0.9868696434776336,0.9452786060344884,0.9368502894037973,0.9408889773856017,0.5082199565714977,0.8912738337783292,0.19090087740062153,0.36859150371489074,0.049404924282959777,0.5622397531503653,0.6998876925003037
SevereJPEG,4,5.0,20,18.628352052511595,1.0,0.47893749999999996,0.9607724327843672,1.008895878706423,0.8602199413821487,0.8632526389368131,0.8609020263142663,0.30517068911460005,0.7856884325873145,0.11839897742306114,0.2672221923365398,0.0348792361949121,0.4668804023259469,0.5718926482180208
LowLight,0,0.8,20,13.83041141794565,1.0,0.9623750000000001,0.9976038197515049,0.5829225418379529,0.9985283276363102,0.6038962229502142,0.7478163625949846,0.5608315660171186,0.9123656665350023,0.21915698577971465,0.4340999964055354,0.05790828788331206,0.5907111093403103,0.7067664221379085
LowLight,1,0.6,20,7.8847229069011675,1.0,0.9544375,0.9979775611348926,0.17326950031072422,0.9998658687888998,0.18354775598800976,0.29404985187603666,0.5585608349079079,0.9118695751945987,0.2141212779101663,0.40895953224668363,0.059116480646619625,0.5907111093403103,0.6949594659681831
LowLight,2,0.4,20,4.387347782231181,0.99875,0.9118124999999999,0.9956917705384688,0.002888248474205464,0.6,0.0032210863446363765,0.0063840143813848034,0.5503558787180965,0.9111919837187336,0.2016037230426108,0.37510544467394474,0.06294277394793309,0.5855398175632452,0.7019470455445141
LowLight,3,0.25,20,2.4569651941032653,0.6799999999999999,0.587125,0.9701301285894177,0.0,0.0,0.0,0.0,0.5377320170753334,0.9081041246230859,0.18380615833798344,0.34032335131674624,0.0612153905904859,0.4626622883616329,0.6113528807767211
LowLight,4,0.1,20,0.8752843433906309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46823010324223313,0.8842727775829887,0.09590047097103709,0.1790388286185115,0.059029798678551244,0.3255021880457663,0.5930269179458144
MotionBlur,0,3.0,20,32.96691254330439,1.0,0.8469999999999999,0.9928960893049631,0.8547169498761956,0.9855013323834576,0.8584365088239203,0.916668124787881,0.5574758162978847,0.9116960123038671,0.22100300309638032,0.4423548984843482,0.055301627908582056,0.5850303581666014,0.7125841826014007
MotionBlur,1,5.0,20,26.99948600770771,1.0,0.6514375,0.9754631226056427,0.5839615049775885,0.9818018922493901,0.594158239973664,0.7362135175754599,0.5559173663013597,0.9092492279404126,0.22641126621448646,0.4493071427649516,0.05596283136581461,0.5853459812782084,0.7039702282128074
MotionBlur,2,9.0,20,23.53923098544768,1.0,0.3966875000000001,0.9254355717776365,0.3566878253567708,0.969074952693856,0.3584387841033821,0.515095707006384,0.5428790567788482,0.9049747643024342,0.201469614748537,0.3857361938827377,0.05042279326614057,0.48884619045405553,0.6097333336351928
MotionBlur,3,15.0,20,20.303772904761626,0.9616875,0.143875,0.7509020681579334,0.16524159599997873,0.9265486955956671,0.16220094031540216,0.2681527322185496,0.5082142348425421,0.8941292101631515,0.1666254866784011,0.3341754563558672,0.04554729278300582,0.520730566014348,0.5957567319179665
MotionBlur,4,25.0,20,17.819701408915847,0.681625,0.027250000000000003,0.3972136258445415,0.07260556645865454,0.8979171287506997,0.07032131992788335,0.1267267409286788,0.4741327639828738,0.8696836883363109,0.11573794539916794,0.23398962928611067,0.03549092280741286,0.3515431201067793,0.5922005753938124
