distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,0,road,0.9638348078610707,0.9834589972816726,13928418,13981618
GaussNoise,5.0,1,sidewalk,0.7537595758403463,0.8141701363611874,2394303,2141263
GaussNoise,5.0,2,building,0.8144205238481746,0.9254481340971871,7513655,7977813
GaussNoise,5.0,3,wall,0.6376375214338749,0.7047795984923414,374090,303042
GaussNoise,5.0,4,fence,0.4424302090992297,0.6426956528735447,497156,544557
GaussNoise,5.0,5,pole,0.33600178231815075,0.44182107807235976,655392,495973
GaussNoise,5.0,6,traffic light,0.4783320647063715,0.5461935681783322,136913,94205
GaussNoise,5.0,7,traffic sign,0.5384374618069736,0.5959864587526479,303074,213021
GaussNoise,5.0,8,vegetation,0.843568097026503,0.9288885066291194,5487833,5652637
GaussNoise,5.0,9,terrain,0.6372994864137198,0.7213702514626554,429527,366510
GaussNoise,5.0,10,sky,0.9200971285673851,0.9632135605121224,1515341,1530607
GaussNoise,5.0,11,person,0.44437625295373867,0.557110886317212,512074,415191
GaussNoise,5.0,12,rider,0.16238946038621188,0.2380255361173815,56704,39908
GaussNoise,5.0,13,car,0.8591860425553087,0.9496463359008285,2472968,2608814
GaussNoise,5.0,14,truck,0.4675051799107013,0.5070422535211268,94785,56076
GaussNoise,5.0,15,bus,0.0,0.0,11517,0
GaussNoise,5.0,16,train,0.0,,0,117
GaussNoise,5.0,17,motorcycle,0.4367436673570177,0.49657291077975335,138018,87443
GaussNoise,5.0,18,bicycle,0.6874157436324373,0.8282099260447295,392805,405778
GaussNoise,10.0,0,road,0.9625513819567996,0.9846332153443413,13928418,14033914
GaussNoise,10.0,1,sidewalk,0.7454207888442453,0.7980251455225174,2394303,2079680
GaussNoise,10.0,2,building,0.8141282654204891,0.9324347471370458,7513655,8097853
GaussNoise,10.0,3,wall,0.6126800165083012,0.6785960597717127,374090,294103
GaussNoise,10.0,4,fence,0.4375438403547196,0.6562004682634827,497156,574681
GaussNoise,10.0,5,pole,0.31714865562169436,0.4201317684683365,655392,488167
GaussNoise,10.0,6,traffic light,0.4434600337202263,0.49756414657483217,136913,84827
GaussNoise,10.0,7,traffic sign,0.5230145625606266,0.5675082653081426,303074,197780
GaussNoise,10.0,8,vegetation,0.8408485926162719,0.9202699863498033,5487833,5568635
GaussNoise,10.0,9,terrain,0.6428229839930668,0.7166464506305773,429527,357147
GaussNoise,10.0,10,sky,0.9233977106550351,0.9667474185678339,1515341,1536091
GaussNoise,10.0,11,person,0.4483575139744602,0.5731378667926901,512074,436002
GaussNoise,10.0,12,rider,0.14242687659928743,0.20515307562076748,56704,36606
GaussNoise,10.0,13,car,0.8593949480629983,0.9467235322090702,2472968,2592511
GaussNoise,10.0,14,truck,0.4993568082328546,0.5487893654059186,94785,61400
GaussNoise,10.0,15,bus,0.0,0.0,11517,0
GaussNoise,10.0,16,train,0.0,,0,11
GaussNoise,10.0,17,motorcycle,0.4241372439370858,0.4780970598037937,138018,83545
GaussNoise,10.0,18,bicycle,0.692482458638635,0.8170695383205407,392805,391620
GaussNoise,20.0,0,road,0.9502132665651171,0.9843241350166257,13928418,14210082
GaussNoise,20.0,1,sidewalk,0.6612796156399348,0.7181079420608002,2394303,1925127
GaussNoise,20.0,2,building,0.7876055799860567,0.938226602099777,7513655,8486416
GaussNoise,20.0,3,wall,0.568703373287629,0.616017535887086,374090,261569
GaussNoise,20.0,4,fence,0.4149673374589504,0.6598230736428807,497156,621387
GaussNoise,20.0,5,pole,0.27970262768724186,0.3514949831551194,655392,398589
GaussNoise,20.0,6,traffic light,0.34024933275700003,0.36220811756370835,136913,58427
GaussNoise,20.0,7,traffic sign,0.45955786578457924,0.5005774167365066,303074,178764
GaussNoise,20.0,8,vegetation,0.8103444965515951,0.8844336188801664,5487833,5355372
GaussNoise,20.0,9,terrain,0.6126898772698248,0.6679440407704289,429527,325636
GaussNoise,20.0,10,sky,0.9240071198762793,0.966397002390881,1515341,1533939
GaussNoise,20.0,11,person,0.4131871758266197,0.5623737975370747,512074,472868
GaussNoise,20.0,12,rider,0.20779270967180963,0.37930304740406323,56704,68311
GaussNoise,20.0,13,car,0.8553747893366018,0.9391714733065692,2472968,2564805
GaussNoise,20.0,14,truck,0.41784234856216607,0.44057604051273935,94785,46917
GaussNoise,20.0,15,bus,0.0028653295128939827,0.0028653295128939827,11517,33
GaussNoise,20.0,16,train,,,0,0
GaussNoise,20.0,17,motorcycle,0.15770903886755558,0.1612833108724949,138018,25388
GaussNoise,20.0,18,bicycle,0.6902143164526269,0.8043864003767773,392805,380943
GaussNoise,35.0,0,road,0.9194759787933121,0.983665266220471,13928418,14673254
GaussNoise,35.0,1,sidewalk,0.5272700002953644,0.5740985998848099,2394303,1587212
GaussNoise,35.0,2,building,0.7373816752991605,0.9368626853375621,7513655,9071903
GaussNoise,35.0,3,wall,0.23241153292053468,0.26046940575797267,374090,142601
GaussNoise,35.0,4,fence,0.358868728881942,0.6539315627288014,497156,733869
GaussNoise,35.0,5,pole,0.2182076936127972,0.26295713099946294,655392,306746
GaussNoise,35.0,6,traffic light,0.2669646485168631,0.28312139826020905,136913,47049
GaussNoise,35.0,7,traffic sign,0.3292157930281474,0.3651154503520592,303074,143706
GaussNoise,35.0,8,vegetation,0.7358614696192854,0.8077297541670819,5487833,4968658
GaussNoise,35.0,9,terrain,0.4494018393465299,0.5188847266877286,429527,289285
GaussNoise,35.0,10,sky,0.9119084494268576,0.9488610154414089,1515341,1499253
GaussNoise,35.0,11,person,0.35416470163123404,0.5206181137882415,512074,507264
GaussNoise,35.0,12,rider,0.09917654510903991,0.13529909706546275,56704,28325
GaussNoise,35.0,13,car,0.8289697074396235,0.9119907738393703,2472968,2502991
GaussNoise,35.0,14,truck,0.4262014199532154,0.4382655483462573,94785,44224
GaussNoise,35.0,15,bus,0.0,0.0,11517,0
GaussNoise,35.0,16,train,,,0,0
GaussNoise,35.0,17,motorcycle,0.0035089829964709655,0.003803851671521106,138018,12123
GaussNoise,35.0,18,bicycle,0.6198991179307928,0.7296062931989155,392805,356110
GaussNoise,50.0,0,road,0.9002779625136529,0.9822982050079198,13928418,14950815
GaussNoise,50.0,1,sidewalk,0.45650509791103594,0.49465543834677567,2394303,1384448
GaussNoise,50.0,2,building,0.6992828998432564,0.9315520874993595,7513655,9495047
GaussNoise,50.0,3,wall,0.24553597039756755,0.3661097596834986,374090,320660
GaussNoise,50.0,4,fence,0.3117461610189775,0.5789993482930911,497156,714054
GaussNoise,50.0,5,pole,0.18044221071093958,0.2089314486597334,655392,240409
GaussNoise,50.0,6,traffic light,0.30438150033193184,0.3214888286722225,136913,51711
GaussNoise,50.0,7,traffic sign,0.21972194441357681,0.23486673221721427,303074,92072
GaussNoise,50.0,8,vegetation,0.6731478542826409,0.7385806018514047,5487833,4586647
GaussNoise,50.0,9,terrain,0.35716414934142493,0.4044798115135952,429527,230637
GaussNoise,50.0,10,sky,0.9015506222071887,0.9357286577740588,1515341,1475395
GaussNoise,50.0,11,person,0.30927225674420455,0.48635939336892714,512074,542262
GaussNoise,50.0,12,rider,0.08579877193247137,0.10029274830699775,56704,15266
GaussNoise,50.0,13,car,0.792833355379076,0.8773967152021377,2472968,2433540
GaussNoise,50.0,14,truck,0.29393580297799987,0.3009442422324207,94785,30785
GaussNoise,50.0,15,bus,0.0,0.0,11517,0
GaussNoise,50.0,16,train,,,0,0
GaussNoise,50.0,17,motorcycle,0.014000420693153838,0.016396412062194787,138018,25883
GaussNoise,50.0,18,bicycle,0.5349298238485573,0.636799429742493,392805,324942
SevereJPEG,80.0,0,road,0.963743436402981,0.9808684661818736,13928418,13909444
SevereJPEG,80.0,1,sidewalk,0.746674811348677,0.8250083636031028,2394303,2226506
SevereJPEG,80.0,2,building,0.8139822016573209,0.9199850139512661,7513655,7890934
SevereJPEG,80.0,3,wall,0.6457487894293163,0.7044080301531717,374090,297494
SevereJPEG,80.0,4,fence,0.45466301629978845,0.6704193452357007,497156,569224
SevereJPEG,80.0,5,pole,0.3182433322282823,0.4276982325081783,655392,505722
SevereJPEG,80.0,6,traffic light,0.49768616441692626,0.5671338733356219,136913,96753
SevereJPEG,80.0,7,traffic sign,0.5284972711596239,0.5885394326138171,303074,212803
SevereJPEG,80.0,8,vegetation,0.8361738571992825,0.9281510570748053,5487833,5697187
SevereJPEG,80.0,9,terrain,0.5959842225587857,0.6761158204257242,429527,348161
SevereJPEG,80.0,10,sky,0.9207902130367188,0.9607131332155601,1515341,1521509
SevereJPEG,80.0,11,person,0.458258636941816,0.5705757371004972,512074,417684
SevereJPEG,80.0,12,rider,0.2478416484659981,0.38223053047404065,56704,52421
SevereJPEG,80.0,13,car,0.861133782258721,0.9497324672215735,2472968,2603092
SevereJPEG,80.0,14,truck,0.46405525064385134,0.5075697631481775,94785,56998
SevereJPEG,80.0,15,bus,0.0,0.0,11517,0
SevereJPEG,80.0,16,train,0.0,,0,247
SevereJPEG,80.0,17,motorcycle,0.4909473973767458,0.5689765103102494,138018,100465
SevereJPEG,80.0,18,bicycle,0.6847484872202725,0.8285281500999223,392805,407929
SevereJPEG,60.0,0,road,0.9641538468484891,0.9811817824536857,13928418,13912300
SevereJPEG,60.0,1,sidewalk,0.7469336012465918,0.8160237029315003,2394303,2175277
SevereJPEG,60.0,2,building,0.8140160069724026,0.9208527673948298,7513655,7905111
SevereJPEG,60.0,3,wall,0.6380862911547672,0.7008527359726269,374090,298980
SevereJPEG,60.0,4,fence,0.43731923111765225,0.6700029769327938,497156,597617
SevereJPEG,60.0,5,pole,0.32051815420387647,0.42906382744983157,655392,503158
SevereJPEG,60.0,6,traffic light,0.4549538197900785,0.5274371316091241,136913,94026
SevereJPEG,60.0,7,traffic sign,0.5312777344086245,0.5905752390505289,303074,212815
SevereJPEG,60.0,8,vegetation,0.8352101732203988,0.9282244922540464,5487833,5705101
SevereJPEG,60.0,9,terrain,0.6054759272123412,0.6858800494497436,429527,351643
SevereJPEG,60.0,10,sky,0.9205846912904488,0.958938615136791,1515341,1516252
SevereJPEG,60.0,11,person,0.4548780026718423,0.5638677222432695,512074,411436
SevereJPEG,60.0,12,rider,0.217791213047033,0.3570294864559819,56704,56497
SevereJPEG,60.0,13,car,0.8575279683337664,0.9462095748913856,2472968,2595689
SevereJPEG,60.0,14,truck,0.4765214556889213,0.5243973202510945,94785,59228
SevereJPEG,60.0,15,bus,0.0,0.0,11517,0
SevereJPEG,60.0,16,train,0.0,,0,633
SevereJPEG,60.0,17,motorcycle,0.5059104099871632,0.6025083684736774,138018,109510
SevereJPEG,60.0,18,bicycle,0.68422411946767,0.8295693792085131,392805,409300
SevereJPEG,40.0,0,road,0.9625861985540127,0.9797961261645077,13928418,13896034
SevereJPEG,40.0,1,sidewalk,0.7410105402532083,0.8124919861855413,2394303,2176318
SevereJPEG,40.0,2,building,0.8068259121667964,0.9190074604170674,7513655,7949808
SevereJPEG,40.0,3,wall,0.6009013952945298,0.6878585367157636,374090,311456
SevereJPEG,40.0,4,fence,0.4291637151547981,0.6215051211289816,497156,531799
SevereJPEG,40.0,5,pole,0.3068225666465625,0.41371881255798054,655392,499485
SevereJPEG,40.0,6,traffic light,0.4624266827304144,0.5326521221505628,136913,93719
SevereJPEG,40.0,7,traffic sign,0.5240211142315214,0.5879620158773105,303074,215177
SevereJPEG,40.0,8,vegetation,0.8280219317624838,0.9247373234571825,5487833,5715799
SevereJPEG,40.0,9,terrain,0.6013033063420717,0.6668195480144438,429527,333217
SevereJPEG,40.0,10,sky,0.920304783209405,0.9578253343636844,1515341,1513212
SevereJPEG,40.0,11,person,0.46874489629266697,0.582909891929682,512074,423211
SevereJPEG,40.0,12,rider,0.27974612845899977,0.4858211060948081,56704,69319
SevereJPEG,40.0,13,car,0.8482006374398996,0.9446402056152768,2472968,2617239
SevereJPEG,40.0,14,truck,0.33828796211127854,0.3647307063353906,94785,41980
SevereJPEG,40.0,15,bus,0.0,0.0,11517,0
SevereJPEG,40.0,16,train,0.0,,0,357
SevereJPEG,40.0,17,motorcycle,0.5160201948583792,0.611688330507615,138018,110012
SevereJPEG,40.0,18,bicycle,0.668462472604166,0.8253891880195008,392805,416431
SevereJPEG,20.0,0,road,0.949878989893588,0.9793651368016095,13928418,14073373
SevereJPEG,20.0,1,sidewalk,0.6377066488639291,0.6854044788817455,2394303,1820150
SevereJPEG,20.0,2,building,0.7827465717059001,0.9135632391958375,7513655,8119920
SevereJPEG,20.0,3,wall,0.5799458368709633,0.6737736908230639,374090,312575
SevereJPEG,20.0,4,fence,0.461918816820526,0.6950635213092068,497156,596485
SevereJPEG,20.0,5,pole,0.29088114673224835,0.3936010814901616,655392,489404
SevereJPEG,20.0,6,traffic light,0.45344124664029234,0.5483336133164857,136913,103726
SevereJPEG,20.0,7,traffic sign,0.47943542481156415,0.5616219141199839,303074,222167
SevereJPEG,20.0,8,vegetation,0.7829270653176594,0.8874220480105718,5487833,5602469
SevereJPEG,20.0,9,terrain,0.542099005423306,0.6920938613870606,429527,416120
SevereJPEG,20.0,10,sky,0.9195047740827864,0.9528865120128077,1515341,1498961
SevereJPEG,20.0,11,person,0.4499873485161617,0.5591418427805356,512074,410537
SevereJPEG,20.0,12,rider,0.2622633768973803,0.47351156884875845,56704,72524
SevereJPEG,20.0,13,car,0.8409011794670294,0.9406854435641706,2472968,2619736
SevereJPEG,20.0,14,truck,0.27347403884264765,0.2911747639394419,94785,33734
SevereJPEG,20.0,15,bus,0.0,0.0,11517,0
SevereJPEG,20.0,16,train,0.0,,0,1182
SevereJPEG,20.0,17,motorcycle,0.3268962474125121,0.3650031155356548,138018,66466
SevereJPEG,20.0,18,bicycle,0.6221714565599631,0.8278560608953552,392805,455044
SevereJPEG,5.0,0,road,0.8689110039059991,0.9576735132446484,13928418,14761717
SevereJPEG,5.0,1,sidewalk,0.27059319987154545,0.29807923224420635,2394303,956898
SevereJPEG,5.0,2,building,0.6466367810805749,0.9075857222616689,7513655,9851406
SevereJPEG,5.0,3,wall,0.4173442685057213,0.4770536501911305,374090,231982
SevereJPEG,5.0,4,fence,0.1974367953144831,0.537565673551159,497156,1123716
SevereJPEG,5.0,5,pole,0.1992002535045495,0.3021367364874762,655392,536691
SevereJPEG,5.0,6,traffic light,0.20587913963810175,0.22022013979680527,136913,39688
SevereJPEG,5.0,7,traffic sign,0.1682011560015257,0.18915512383114355,303074,95084
SevereJPEG,5.0,8,vegetation,0.6187686413576924,0.7122144569632495,5487833,4737281
SevereJPEG,5.0,9,terrain,0.020156403091773415,0.025863333387656656,429527,132722
SevereJPEG,5.0,10,sky,0.8097636995528299,0.8270732462198277,1515341,1285690
SevereJPEG,5.0,11,person,0.1383000360091223,0.16200588196237262,512074,170733
SevereJPEG,5.0,12,rider,0.0,0.0,56704,1224
SevereJPEG,5.0,13,car,0.6608641710160902,0.7913668919290504,2472968,2445369
SevereJPEG,5.0,14,truck,0.0,0.0,94785,216354
SevereJPEG,5.0,15,bus,0.0,0.0,11517,0
SevereJPEG,5.0,16,train,0.0,,0,3375
SevereJPEG,5.0,17,motorcycle,0.3080410553491594,0.4607804779086786,138018,132031
SevereJPEG,5.0,18,bicycle,0.26814648897823373,0.31513091737630633,392805,192612
LowLight,0.8,0,road,0.9628427298281029,0.980756680335125,13928418,13919531
LowLight,0.8,1,sidewalk,0.7505135289095777,0.820987986900572,2394303,2190523
LowLight,0.8,2,building,0.8150024341023349,0.9182087812123394,7513655,7850582
LowLight,0.8,3,wall,0.6541071163641758,0.7071399930498008,374090,294864
LowLight,0.8,4,fence,0.4554830493254018,0.673350014884664,497156,572560
LowLight,0.8,5,pole,0.3245935383823687,0.429240820760705,655392,492616
LowLight,0.8,6,traffic light,0.5016898828137338,0.5800398793394346,136913,100797
LowLight,0.8,7,traffic sign,0.5356964836299708,0.5921854068643302,303074,211435
LowLight,0.8,8,vegetation,0.8395647475546635,0.9333868213555332,5487833,5735541
LowLight,0.8,9,terrain,0.6420104092254312,0.7323241612285142,429527,374976
LowLight,0.8,10,sky,0.9158851582956289,0.9588713035547775,1515341,1524138
LowLight,0.8,11,person,0.45861997279999744,0.5643676499880876,512074,407071
LowLight,0.8,12,rider,0.24481504731898562,0.3645069130925508,56704,48392
LowLight,0.8,13,car,0.8618784409026907,0.9519743077953293,2472968,2612712
LowLight,0.8,14,truck,0.4910310223380132,0.536878198027114,94785,59738
LowLight,0.8,15,bus,0.0,0.0,11517,0
LowLight,0.8,16,train,0.0,,0,205
LowLight,0.8,17,motorcycle,0.5178343209015918,0.6135648973322321,138018,110198
LowLight,0.8,18,bicycle,0.6842318716325827,0.8289482058527768,392805,408694
LowLight,0.6,0,road,0.9623927421482348,0.980602894025725,13928418,13921797
LowLight,0.6,1,sidewalk,0.7476085452261451,0.8190132994863223,2394303,2189648
LowLight,0.6,2,building,0.8145020936363793,0.9184781574346972,7513655,7860291
LowLight,0.6,3,wall,0.6498075165344644,0.7088615039161699,374090,299175
LowLight,0.6,4,fence,0.45505982809653,0.6821943212995518,497156,587303
LowLight,0.6,5,pole,0.3257853292543322,0.42944985596406426,655392,490003
LowLight,0.6,6,traffic light,0.4945619894880032,0.5656146604047826,136913,97110
LowLight,0.6,7,traffic sign,0.5347140708541099,0.5877013534648303,303074,208150
LowLight,0.6,8,vegetation,0.8394655471092421,0.9328208420336406,5487833,5729456
LowLight,0.6,9,terrain,0.6421414298241831,0.7279542380339303,429527,370076
LowLight,0.6,10,sky,0.9128666935260494,0.956950943714979,1515341,1523286
LowLight,0.6,11,person,0.4559243443067019,0.5587649441291689,512074,401635
LowLight,0.6,12,rider,0.24976028935199232,0.3629020880361174,56704,46265
LowLight,0.6,13,car,0.86151734251714,0.9511696067235808,2472968,2609557
LowLight,0.6,14,truck,0.47776754109489405,0.5197552355330485,94785,57595
LowLight,0.6,15,bus,0.0,0.0,11517,0
LowLight,0.6,16,train,0.0,,0,70
LowLight,0.6,17,motorcycle,0.5125074375247918,0.5991247518439624,138018,106016
LowLight,0.6,18,bicycle,0.6762731227570563,0.8318707755756674,392805,417140
LowLight,0.4,0,road,0.9622771997905087,0.9807841062782579,13928418,13928648
LowLight,0.4,1,sidewalk,0.7496020678318942,0.8184277428546011,2394303,2179400
LowLight,0.4,2,building,0.815082920321927,0.9215091723002986,7513655,7904968
