sample_id,distortion,level_index,level,snr_db,orb_clean_keypoints,orb_distorted_keypoints,orb_keypoint_retention,orb_ratio_matches,orb_spatial_inliers,orb_match_retention,orb_inlier_ratio,canny_clean_edge_pixels,canny_distorted_edge_pixels,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_classes_present,yolo_detection_objects,gt_detection_objects
frankfurt_000000_009688,GaussNoise,0,5.0,25.347896213290888,800.0,800.0,1.0,729.0,726.0,0.9075,0.9958847736625515,5785.0,5844.0,1.010198789974071,0.9613278576317591,0.9711322385479689,0.966205176713389,0.48349956847223635,11,76,9
frankfurt_000000_011074,GaussNoise,0,5.0,26.454960911024603,800.0,800.0,1.0,731.0,728.0,0.91,0.9958960328317373,12082.0,12038.0,0.9963582188379407,0.9835520850639641,0.980963416652872,0.9822560452968847,0.46001163474310713,14,110,7
frankfurt_000000_012868,GaussNoise,0,5.0,26.883063649546514,800.0,800.0,1.0,740.0,739.0,0.92375,0.9986486486486487,40515.0,41518.0,1.0247562631124274,0.9575846620742811,0.980673824509441,0.9689917205038409,0.4623760529627246,14,238,20
frankfurt_000000_016005,GaussNoise,0,5.0,25.655960657359334,800.0,800.0,1.0,725.0,719.0,0.89875,0.9917241379310345,17291.0,17524.0,1.0134752183216702,0.9718671536178954,0.982765600601469,0.9772859938710924,0.35287311179235226,15,89,15
frankfurt_000000_020321,GaussNoise,0,5.0,25.79486085987995,800.0,800.0,1.0,740.0,740.0,0.925,1.0,20824.0,20871.0,1.0022570111409912,0.9695750083848402,0.9703227045716482,0.9699487123857016,0.48363989320526846,13,176,27
frankfurt_000000_022254,GaussNoise,0,5.0,24.25641319840401,800.0,800.0,1.0,731.0,729.0,0.91125,0.9972640218878249,17528.0,17817.0,1.01648790506618,0.9595330302520065,0.9739844819717024,0.9667047497593165,0.5113948717604633,14,197,13
frankfurt_000001_010830,GaussNoise,0,5.0,25.31771627644825,800.0,800.0,1.0,742.0,741.0,0.92625,0.9986522911051213,37878.0,37540.0,0.9910766143935794,0.9863079381992541,0.9778235387296056,0.9820474135622516,0.5024764311880094,11,218,18
frankfurt_000001_021406,GaussNoise,0,5.0,25.09499875424103,800.0,800.0,1.0,729.0,728.0,0.91,0.9986282578875172,22879.0,23219.0,1.0148607893701649,0.9754511391532796,0.9891603654005857,0.9822579202032976,0.571263152083554,12,62,17
frankfurt_000001_046779,GaussNoise,0,5.0,25.722320354376276,800.0,800.0,1.0,745.0,741.0,0.92625,0.9946308724832215,27947.0,27661.0,0.9897663434357892,0.9778388344600701,0.9694421583712026,0.9736223931810234,0.3583162649618152,14,235,27
frankfurt_000001_054640,GaussNoise,0,5.0,27.084045303003577,800.0,800.0,1.0,723.0,717.0,0.89625,0.991701244813278,38237.0,38323.0,1.0022491304234118,0.9799859092451009,0.981222376232445,0.980603752966146,0.49590115956271624,14,222,49
frankfurt_000001_058504,GaussNoise,0,5.0,25.520441297364236,800.0,800.0,1.0,736.0,733.0,0.91625,0.9959239130434783,20579.0,20755.0,1.0085524077943535,0.9700794989159238,0.9779872685747607,0.9740173337767218,0.5019946610871981,10,176,19
