class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
0,road,0.9613997513348255,0.9793561269087857,83055684,82892351
1,sidewalk,0.7332352040223941,0.8113062674824303,13341609,12244676
2,building,0.8671669582292878,0.948672309282238,54242339,56556463
3,wall,0.36213114970676935,0.478911292340021,1259181,1009097
4,fence,0.3869358571379227,0.5784525000464737,2904866,3118111
5,pole,0.3009012055633456,0.4072945342856697,3268173,2486677
6,traffic light,0.4010857587227409,0.4459355356864802,488084,272232
7,traffic sign,0.5182414394200807,0.595592238612096,1656714,1234001
8,vegetation,0.8654625021612103,0.9422095605065435,37874102,39043922
9,terrain,0.5061476858787021,0.6089835794028413,1774905,1441502
10,sky,0.9200083613461669,0.950818337577745,7910794,7786651
11,person,0.5661743776543081,0.7203891466022169,3186357,3163318
12,rider,0.2142960319038697,0.27050895830030125,378420,201631
13,car,0.8745464436349829,0.9401592722626917,13170027,13370004
14,truck,0.7865135667274568,0.8499957881812905,866609,806561
15,bus,0.613013723028784,0.6732807296491975,638992,493042
16,train,0.26853242964649765,0.6280509903408286,63463,124824
17,motorcycle,0.3833728689560379,0.4342044473012876,199132,112867
18,bicycle,0.543039250773548,0.6851315115951904,1474965,1396486
