class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
person,0.18770798633377744,0.3455234165910494,0.06166666666666667,0.5692307692307692,0.7274505360067386,715.0,6600.0
bicycle,0.09244287574043915,0.1773154217428191,0.06716417910447761,0.35611510791366907,0.6820185703648404,278.0,1474.0
car,0.3295215253149109,0.5295302358162871,0.09692328007394692,0.6455584872471416,0.7648972711987456,1137.0,7573.0
motorcycle,0.05900734335063769,0.1397501677312267,0.07518796992481203,0.2702702702702703,0.675901278868906,37.0,133.0
bus,0.3388104494707074,0.4572797664381823,0.02564102564102564,0.5714285714285714,0.8123000584750465,21.0,468.0
train,0.05470297029702971,0.16831683168316833,0.011111111111111112,0.3333333333333333,0.6054055767394111,3.0,90.0
truck,0.17106710099596395,0.22323583604675132,0.02,0.6086956521739131,0.7602772808214942,23.0,700.0
