distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,distorted,0,road,0.9638348078610707,0.9834589972816726,13928418,13981618
GaussNoise,5.0,distorted,1,sidewalk,0.7537595758403463,0.8141701363611874,2394303,2141263
GaussNoise,5.0,distorted,2,building,0.8144205238481746,0.9254481340971871,7513655,7977813
GaussNoise,5.0,distorted,3,wall,0.6376375214338749,0.7047795984923414,374090,303042
GaussNoise,5.0,distorted,4,fence,0.4424302090992297,0.6426956528735447,497156,544557
GaussNoise,5.0,distorted,5,pole,0.33600178231815075,0.44182107807235976,655392,495973
GaussNoise,5.0,distorted,6,traffic light,0.4783320647063715,0.5461935681783322,136913,94205
GaussNoise,5.0,distorted,7,traffic sign,0.5384374618069736,0.5959864587526479,303074,213021
GaussNoise,5.0,distorted,8,vegetation,0.843568097026503,0.9288885066291194,5487833,5652637
GaussNoise,5.0,distorted,9,terrain,0.6372994864137198,0.7213702514626554,429527,366510
GaussNoise,5.0,distorted,10,sky,0.9200971285673851,0.9632135605121224,1515341,1530607
GaussNoise,5.0,distorted,11,person,0.44437625295373867,0.557110886317212,512074,415191
GaussNoise,5.0,distorted,12,rider,0.16238946038621188,0.2380255361173815,56704,39908
GaussNoise,5.0,distorted,13,car,0.8591860425553087,0.9496463359008285,2472968,2608814
GaussNoise,5.0,distorted,14,truck,0.4675051799107013,0.5070422535211268,94785,56076
GaussNoise,5.0,distorted,15,bus,0.0,0.0,11517,0
GaussNoise,5.0,distorted,16,train,0.0,,0,117
GaussNoise,5.0,distorted,17,motorcycle,0.4367436673570177,0.49657291077975335,138018,87443
GaussNoise,5.0,distorted,18,bicycle,0.6874157436324373,0.8282099260447295,392805,405778
GaussNoise,5.0,restored,0,road,0.9403427083303534,0.9675982584669702,13928418,13880824
GaussNoise,5.0,restored,1,sidewalk,0.6128739609266214,0.7036878791030208,2394303,2039623
GaussNoise,5.0,restored,2,building,0.7585762422552976,0.9207955382566807,7513655,8525313
GaussNoise,5.0,restored,3,wall,0.4595746994477241,0.5874789489160362,374090,323883
GaussNoise,5.0,restored,4,fence,0.3718612160605464,0.5012672078784124,497156,422216
GaussNoise,5.0,restored,5,pole,0.2932084562095577,0.3976154728773009,655392,493969
GaussNoise,5.0,restored,6,traffic light,0.45260066876764565,0.584268842257492,136913,119824
GaussNoise,5.0,restored,7,traffic sign,0.42840550196934407,0.4636788375116308,303074,165483
GaussNoise,5.0,restored,8,vegetation,0.7695692780195207,0.8572072072892889,5487833,5329160
GaussNoise,5.0,restored,9,terrain,0.5239162551094232,0.6018876578189497,429527,322451
GaussNoise,5.0,restored,10,sky,0.9056945091438421,0.9455970636312223,1515341,1499664
GaussNoise,5.0,restored,11,person,0.43533880587282936,0.612796197424591,512074,522534
GaussNoise,5.0,restored,12,rider,0.1140709282666452,0.1998977144469526,56704,53999
GaussNoise,5.0,restored,13,car,0.8013004379913571,0.9311798616075906,2472968,2703611
GaussNoise,5.0,restored,14,truck,0.0799636978672497,0.10225246610750646,94785,36112
GaussNoise,5.0,restored,15,bus,0.0,0.0,11517,542
GaussNoise,5.0,restored,16,train,,,0,0
GaussNoise,5.0,restored,17,motorcycle,0.2178383160023108,0.3497080091002623,138018,131816
GaussNoise,5.0,restored,18,bicycle,0.5181022948196986,0.6397703695217729,392805,343549
GaussNoise,10.0,distorted,0,road,0.9625513819567996,0.9846332153443413,13928418,14033914
GaussNoise,10.0,distorted,1,sidewalk,0.7454207888442453,0.7980251455225174,2394303,2079680
GaussNoise,10.0,distorted,2,building,0.8141282654204891,0.9324347471370458,7513655,8097853
GaussNoise,10.0,distorted,3,wall,0.6126800165083012,0.6785960597717127,374090,294103
GaussNoise,10.0,distorted,4,fence,0.4375438403547196,0.6562004682634827,497156,574681
GaussNoise,10.0,distorted,5,pole,0.31714865562169436,0.4201317684683365,655392,488167
GaussNoise,10.0,distorted,6,traffic light,0.4434600337202263,0.49756414657483217,136913,84827
GaussNoise,10.0,distorted,7,traffic sign,0.5230145625606266,0.5675082653081426,303074,197780
GaussNoise,10.0,distorted,8,vegetation,0.8408485926162719,0.9202699863498033,5487833,5568635
GaussNoise,10.0,distorted,9,terrain,0.6428229839930668,0.7166464506305773,429527,357147
GaussNoise,10.0,distorted,10,sky,0.9233977106550351,0.9667474185678339,1515341,1536091
GaussNoise,10.0,distorted,11,person,0.4483575139744602,0.5731378667926901,512074,436002
GaussNoise,10.0,distorted,12,rider,0.14242687659928743,0.20515307562076748,56704,36606
GaussNoise,10.0,distorted,13,car,0.8593949480629983,0.9467235322090702,2472968,2592511
GaussNoise,10.0,distorted,14,truck,0.4993568082328546,0.5487893654059186,94785,61400
GaussNoise,10.0,distorted,15,bus,0.0,0.0,11517,0
GaussNoise,10.0,distorted,16,train,0.0,,0,11
GaussNoise,10.0,distorted,17,motorcycle,0.4241372439370858,0.4780970598037937,138018,83545
GaussNoise,10.0,distorted,18,bicycle,0.692482458638635,0.8170695383205407,392805,391620
GaussNoise,10.0,restored,0,road,0.9395272547393299,0.9680339145479407,13928418,13905790
GaussNoise,10.0,restored,1,sidewalk,0.6051517202092975,0.6894879219547401,2394303,1984522
GaussNoise,10.0,restored,2,building,0.753640625954316,0.9245900962980068,7513655,8651385
GaussNoise,10.0,restored,3,wall,0.4387061183550652,0.5846053088828892,374090,343105
GaussNoise,10.0,restored,4,fence,0.3749377138863991,0.503998744860768,497156,421697
GaussNoise,10.0,restored,5,pole,0.29063565748333364,0.3938604682388555,655392,490908
GaussNoise,10.0,restored,6,traffic light,0.442784391950206,0.5658337776544229,136913,115518
GaussNoise,10.0,restored,7,traffic sign,0.439115995888353,0.4764216000052792,303074,170139
GaussNoise,10.0,restored,8,vegetation,0.7702001876990607,0.8546471804080044,5487833,5291863
GaussNoise,10.0,restored,9,terrain,0.5226872341781389,0.5919720995420544,429527,311204
GaussNoise,10.0,restored,10,sky,0.8742529617636517,0.9127575905357276,1515341,1449879
GaussNoise,10.0,restored,11,person,0.4311540640240954,0.6094138737760558,512074,523781
GaussNoise,10.0,restored,12,rider,0.11927103107880892,0.19390166478555304,56704,46476
GaussNoise,10.0,restored,13,car,0.7995193039627289,0.9280172650838991,2472968,2692410
GaussNoise,10.0,restored,14,truck,0.09031707614354617,0.10944769742047793,94785,30451
GaussNoise,10.0,restored,15,bus,0.0,0.0,11517,4863
GaussNoise,10.0,restored,16,train,,,0,0
GaussNoise,10.0,restored,17,motorcycle,0.21172682935714643,0.33687634946166445,138018,128076
GaussNoise,10.0,restored,18,bicycle,0.5072408374739882,0.6385458433573911,392805,352506
GaussNoise,20.0,distorted,0,road,0.9502132665651171,0.9843241350166257,13928418,14210082
GaussNoise,20.0,distorted,1,sidewalk,0.6612796156399348,0.7181079420608002,2394303,1925127
GaussNoise,20.0,distorted,2,building,0.7876055799860567,0.938226602099777,7513655,8486416
GaussNoise,20.0,distorted,3,wall,0.568703373287629,0.616017535887086,374090,261569
GaussNoise,20.0,distorted,4,fence,0.4149673374589504,0.6598230736428807,497156,621387
GaussNoise,20.0,distorted,5,pole,0.27970262768724186,0.3514949831551194,655392,398589
GaussNoise,20.0,distorted,6,traffic light,0.34024933275700003,0.36220811756370835,136913,58427
GaussNoise,20.0,distorted,7,traffic sign,0.45955786578457924,0.5005774167365066,303074,178764
GaussNoise,20.0,distorted,8,vegetation,0.8103444965515951,0.8844336188801664,5487833,5355372
GaussNoise,20.0,distorted,9,terrain,0.6126898772698248,0.6679440407704289,429527,325636
GaussNoise,20.0,distorted,10,sky,0.9240071198762793,0.966397002390881,1515341,1533939
GaussNoise,20.0,distorted,11,person,0.4131871758266197,0.5623737975370747,512074,472868
GaussNoise,20.0,distorted,12,rider,0.20779270967180963,0.37930304740406323,56704,68311
GaussNoise,20.0,distorted,13,car,0.8553747893366018,0.9391714733065692,2472968,2564805
GaussNoise,20.0,distorted,14,truck,0.41784234856216607,0.44057604051273935,94785,46917
GaussNoise,20.0,distorted,15,bus,0.0028653295128939827,0.0028653295128939827,11517,33
GaussNoise,20.0,distorted,16,train,,,0,0
GaussNoise,20.0,distorted,17,motorcycle,0.15770903886755558,0.1612833108724949,138018,25388
GaussNoise,20.0,distorted,18,bicycle,0.6902143164526269,0.8043864003767773,392805,380943
GaussNoise,20.0,restored,0,road,0.9336577604005759,0.9679242107754089,13928418,13992844
GaussNoise,20.0,restored,1,sidewalk,0.5611639983482128,0.6413499043354162,2394303,1877713
GaussNoise,20.0,restored,2,building,0.754250665042787,0.9270959340028255,7513655,8687720
GaussNoise,20.0,restored,3,wall,0.4204461210739187,0.5988398513726644,374090,382745
GaussNoise,20.0,restored,4,fence,0.360465633487961,0.5053222730893321,497156,451011
GaussNoise,20.0,restored,5,pole,0.2884984676372775,0.38464613544260534,655392,470516
GaussNoise,20.0,restored,6,traffic light,0.4788724631645988,0.571143719004039,136913,104578
GaussNoise,20.0,restored,7,traffic sign,0.3698414714545795,0.40351201356764355,303074,149886
GaussNoise,20.0,restored,8,vegetation,0.7632594559233429,0.8438283380707832,5487833,5210079
GaussNoise,20.0,restored,9,terrain,0.523158703209637,0.6026117100904018,429527,324071
GaussNoise,20.0,restored,10,sky,0.903965887961456,0.9518933362193724,1515341,1522785
GaussNoise,20.0,restored,11,person,0.4087092378025606,0.5880029058300168,512074,525739
GaussNoise,20.0,restored,12,rider,0.09407441760907567,0.13951396726862303,56704,35300
GaussNoise,20.0,restored,13,car,0.7885461586309592,0.9135002960005952,2472968,2650927
GaussNoise,20.0,restored,14,truck,0.05098654050683977,0.05866962072057815,94785,19844
GaussNoise,20.0,restored,15,bus,0.0,0.0,11517,0
GaussNoise,20.0,restored,16,train,0.0,,0,41
GaussNoise,20.0,restored,17,motorcycle,0.17068808924825385,0.3077352229419351,138018,153289
GaussNoise,20.0,restored,18,bicycle,0.4997144031024842,0.6347551584119346,392805,355485
GaussNoise,35.0,distorted,0,road,0.9194759787933121,0.983665266220471,13928418,14673254
GaussNoise,35.0,distorted,1,sidewalk,0.5272700002953644,0.5740985998848099,2394303,1587212
GaussNoise,35.0,distorted,2,building,0.7373816752991605,0.9368626853375621,7513655,9071903
GaussNoise,35.0,distorted,3,wall,0.23241153292053468,0.26046940575797267,374090,142601
GaussNoise,35.0,distorted,4,fence,0.358868728881942,0.6539315627288014,497156,733869
GaussNoise,35.0,distorted,5,pole,0.2182076936127972,0.26295713099946294,655392,306746
GaussNoise,35.0,distorted,6,traffic light,0.2669646485168631,0.28312139826020905,136913,47049
GaussNoise,35.0,distorted,7,traffic sign,0.3292157930281474,0.3651154503520592,303074,143706
GaussNoise,35.0,distorted,8,vegetation,0.7358614696192854,0.8077297541670819,5487833,4968658
GaussNoise,35.0,distorted,9,terrain,0.4494018393465299,0.5188847266877286,429527,289285
GaussNoise,35.0,distorted,10,sky,0.9119084494268576,0.9488610154414089,1515341,1499253
GaussNoise,35.0,distorted,11,person,0.35416470163123404,0.5206181137882415,512074,507264
GaussNoise,35.0,distorted,12,rider,0.09917654510903991,0.13529909706546275,56704,28325
GaussNoise,35.0,distorted,13,car,0.8289697074396235,0.9119907738393703,2472968,2502991
GaussNoise,35.0,distorted,14,truck,0.4262014199532154,0.4382655483462573,94785,44224
GaussNoise,35.0,distorted,15,bus,0.0,0.0,11517,0
GaussNoise,35.0,distorted,16,train,,,0,0
GaussNoise,35.0,distorted,17,motorcycle,0.0035089829964709655,0.003803851671521106,138018,12123
GaussNoise,35.0,distorted,18,bicycle,0.6198991179307928,0.7296062931989155,392805,356110
GaussNoise,35.0,restored,0,road,0.9262630172845082,0.9647690785845169,13928418,14016731
GaussNoise,35.0,restored,1,sidewalk,0.5206354687029959,0.5869424212390829,2394303,1710251
GaussNoise,35.0,restored,2,building,0.7375550751239931,0.9275236885377356,7513655,8904350
GaussNoise,35.0,restored,3,wall,0.37271292913184234,0.6459862599909113,374090,515940
GaussNoise,35.0,restored,4,fence,0.30344231821536316,0.460668281183371,497156,486621
GaussNoise,35.0,restored,5,pole,0.26163753087791675,0.34486994043259606,655392,434519
GaussNoise,35.0,restored,6,traffic light,0.3842891365219425,0.4440630181209965,136913,82094
GaussNoise,35.0,restored,7,traffic sign,0.31247571168614874,0.33428799567102424,303074,122470
GaussNoise,35.0,restored,8,vegetation,0.7568070453827339,0.8318795415239494,5487833,5109589
GaussNoise,35.0,restored,9,terrain,0.5178435723106569,0.7107236564872522,429527,465260
GaussNoise,35.0,restored,10,sky,0.8584515072149138,0.9101911714920932,1515341,1470581
GaussNoise,35.0,restored,11,person,0.3711148312923298,0.5688455184211657,512074,564125
GaussNoise,35.0,restored,12,rider,0.07749904772269685,0.12558196952595937,56704,42302
GaussNoise,35.0,restored,13,car,0.7904570221772717,0.8858606338618211,2472968,2489178
GaussNoise,35.0,restored,14,truck,0.28449832606269654,0.29585904942765207,94785,31828
GaussNoise,35.0,restored,15,bus,0.0,0.0,11517,0
GaussNoise,35.0,restored,16,train,,,0,0
GaussNoise,35.0,restored,17,motorcycle,0.10152796001369815,0.19117796229477316,138018,148257
GaussNoise,35.0,restored,18,bicycle,0.47318439331071077,0.5832537773195351,392805,320477
GaussNoise,50.0,distorted,0,road,0.9002779625136529,0.9822982050079198,13928418,14950815
GaussNoise,50.0,distorted,1,sidewalk,0.45650509791103594,0.49465543834677567,2394303,1384448
GaussNoise,50.0,distorted,2,building,0.6992828998432564,0.9315520874993595,7513655,9495047
GaussNoise,50.0,distorted,3,wall,0.24553597039756755,0.3661097596834986,374090,320660
GaussNoise,50.0,distorted,4,fence,0.3117461610189775,0.5789993482930911,497156,714054
GaussNoise,50.0,distorted,5,pole,0.18044221071093958,0.2089314486597334,655392,240409
GaussNoise,50.0,distorted,6,traffic light,0.30438150033193184,0.3214888286722225,136913,51711
GaussNoise,50.0,distorted,7,traffic sign,0.21972194441357681,0.23486673221721427,303074,92072
GaussNoise,50.0,distorted,8,vegetation,0.6731478542826409,0.7385806018514047,5487833,4586647
GaussNoise,50.0,distorted,9,terrain,0.35716414934142493,0.4044798115135952,429527,230637
GaussNoise,50.0,distorted,10,sky,0.9015506222071887,0.9357286577740588,1515341,1475395
