sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
frankfurt_000000_009688,GaussNoise,0,5.0,25.347896213290888,22.9872836026706,0.9075,0.31375,0.966205176713389,0.40173202056614477,0.48349956847223635,0.4301388035006357,76,70
frankfurt_000000_011074,GaussNoise,0,5.0,26.454960911024603,22.626196389710742,0.91,0.4,0.9822560452968847,0.5860548256534007,0.46001163474310713,0.3500482823618123,110,96
frankfurt_000000_012868,GaussNoise,0,5.0,26.883063649546514,20.678228348978145,0.92375,0.4725,0.9689917205038409,0.6851458782178607,0.4623760529627246,0.3402306606607003,238,220
frankfurt_000000_016005,GaussNoise,0,5.0,25.655960657359334,21.626491002684425,0.89875,0.37375,0.9772859938710924,0.5901847168204343,0.35287311179235226,0.3199403703170133,89,117
frankfurt_000000_020321,GaussNoise,0,5.0,25.79486085987995,20.660052988997517,0.925,0.36,0.9699487123857016,0.5350523998524737,0.48363989320526846,0.4568039265196273,176,137
frankfurt_000000_022254,GaussNoise,0,5.0,24.25641319840401,21.329119002293485,0.91125,0.3625,0.9667047497593165,0.45531886913686553,0.5113948717604633,0.5032219381033,197,179
frankfurt_000001_010830,GaussNoise,0,5.0,25.31771627644825,19.427189565679342,0.92625,0.5475,0.9820474135622516,0.6803946954828792,0.5024764311880094,0.4294790863334685,218,207
frankfurt_000001_021406,GaussNoise,0,5.0,25.09499875424103,20.612392590157057,0.91,0.3525,0.9822579202032976,0.4899225591078276,0.571263152083554,0.40803321816916743,62,73
frankfurt_000001_046779,GaussNoise,0,5.0,25.722320354376276,20.275278357659925,0.92625,0.46375,0.9736223931810234,0.6257095364663096,0.3583162649618152,0.33603412088562556,235,211
frankfurt_000001_054640,GaussNoise,0,5.0,27.084045303003577,21.121222713391532,0.89625,0.315,0.980603752966146,0.6102224936265891,0.49590115956271624,0.4596213460699422,222,197
frankfurt_000001_058504,GaussNoise,0,5.0,25.520441297364236,21.11865288726897,0.91625,0.37625,0.9740173337767218,0.6096135006326772,0.5019946610871981,0.5357486880951255,176,175
frankfurt_000001_062250,GaussNoise,0,5.0,24.770002850020433,22.415194361475734,0.8925,0.29,0.9566716865098726,0.5621814125637776,0.37942354392816136,0.3320876139603425,114,131
frankfurt_000001_064651,GaussNoise,0,5.0,26.750229837758344,21.534716551652554,0.92625,0.36,0.9716243329720233,0.5847433231253459,0.4769789996303858,0.47862857987041235,188,175
frankfurt_000001_080091,GaussNoise,0,5.0,26.46801061408356,20.707738098596028,0.9025,0.3825,0.9824452971542887,0.605520839854359,0.46867852188838677,0.40210059372892676,257,249
lindau_000007_000019,GaussNoise,0,5.0,24.590704000129584,23.606322514334398,0.91125,0.41875,0.9741348930508078,0.5619518717034979,0.41856624366667283,0.39897375609101576,125,146
